#Frame      Dih_00021 Dih_00022 Dih_00023 Dih_00024 Dih_00025
       1     -27.6409 32.0852 -26.1848 10.1028 11.3684
       2     -30.4422 30.7803 -21.8179 4.2674 16.5827
       3      -9.6869 17.4687 -18.0559 13.4040 -2.4795
       4     -38.6367 46.1129 -32.7652 11.2273 16.0469
       5       2.3710 16.3122 -27.3526 30.8885 -21.2324
       6     -18.6836 18.3784 -10.5598 -0.2479 11.4113
       7     -23.7851 35.3029 -35.6751 22.0774 1.6112
       8     -11.6989 22.7282 -26.9563 19.0007 -4.1111
       9     -23.9104 31.0634 -24.8114 11.6196 7.8615
      10      -1.9903 15.1226 -20.7744 20.7450 -12.1775
      11     -22.7332 28.7783 -21.3778 8.4499 8.1427
      12     -22.2022 29.6981 -23.5328 12.3347 6.0851
      13     -23.6820 24.5483 -17.3361 3.5297 13.0287
      14     -35.2025 46.0419 -39.0144 17.4842 11.6831
      15     -30.2666 27.1335 -14.8089 -2.0433 19.4189
      16     -30.8269 31.9301 -19.6822 2.6706 17.7717
      17     -38.6852 35.5844 -21.9610 0.9542 24.8404
      18     -24.9852 33.3824 -26.1679 12.7534 6.9983
      19     -32.6162 42.3598 -32.7529 15.2074 11.4016
      20     -36.0543 33.6411 -18.4955 -2.8679 25.3099
      21     -16.1867 6.3855 5.2594 -16.1837 19.6655
      22     -25.7999 39.2297 -34.9620 22.0727 1.0948
      23     -38.5508 22.3114 1.2643 -22.8550 37.6167
      24     -30.7871 17.8447 1.9794 -21.7884 36.8476
      25     -33.9843 23.3740 -3.0997 -17.2618 33.7339
      26     -23.5066 37.6013 -36.4450 24.9712 -1.3158
      27     -35.6230 37.1573 -25.2636 6.8008 16.4005
      28      -8.2033 21.7243 -24.0048 21.5781 -8.5175
      29     -12.8733 29.3914 -32.0798 26.9667 -9.3037
      30     -43.1639 42.6317 -27.4566 3.2841 25.5235
      31     -36.6714 34.2132 -18.0264 -2.4582 24.5126
      32     -40.1475 41.9033 -28.4295 7.2108 19.9314
      33     -36.3411 31.7285 -15.8584 -4.5597 26.4221
      34     -42.6977 38.8752 -19.9468 -3.5808 27.8320
      35     -29.7082 33.0046 -22.9284 6.7366 13.6378
