#Frame      Dih_00146 Dih_00147 Dih_00148 Dih_00149 Dih_00150
       1     -23.1009 24.5023 -18.5557 6.3425 11.0139
       2     -25.7284 34.4682 -28.1904 15.1671 6.0261
       3     -37.9390 43.1907 -35.7172 15.5719 13.5263
       4     -28.7263 40.5702 -38.2146 23.9106 3.1371
       5     -37.6717 50.2536 -43.6416 23.9891 8.7860
       6     -40.3426 49.8557 -37.0933 15.4628 15.0486
       7     -46.5566 46.7415 -32.7446 7.7575 23.2494
       8     -25.0203 38.6119 -34.8529 23.0913 0.7776
       9     -33.7010 44.3707 -36.4003 20.9877 6.3620
      10     -43.1066 33.4880 -11.5987 -12.3145 34.4903
      11     -31.3239 36.1144 -28.4195 11.7536 11.4339
      12     -26.0794 37.0833 -35.9189 21.4611 2.6682
      13     -26.7604 41.9677 -38.7485 24.7077 1.4654
      14      -6.4561 19.3324 -22.2906 20.0941 -8.5018
      15      -2.9783 26.0538 -36.7917 36.3376 -22.6835
      16       1.3751 14.1711 -21.1756 25.4794 -17.1358
      17      -1.7068 18.7999 -26.4539 26.5365 -16.8533
      18       8.4734 11.2690 -25.8618 32.0403 -25.3114
      19      -6.2414 23.5414 -30.0297 25.7207 -12.8266
      20       4.8844 16.3173 -28.5135 33.7219 -25.2796
      21       3.1395 12.8727 -22.1740 24.0424 -17.6037
      22     -10.0007 22.5213 -25.7828 21.2911 -7.5917
      23      -6.8707 19.7659 -24.0839 21.6362 -9.6480
      24      -6.5341 19.7409 -23.5262 20.4788 -9.7828
      25     -17.9833 28.0983 -26.5434 16.9206 0.6401
      26      -4.0992 18.6819 -25.1204 21.9291 -11.5240
      27      -6.8542 21.6133 -26.4696 24.3513 -10.9052
      28      -8.7119 23.8117 -25.7950 22.1421 -9.0142
      29       2.8112 16.9936 -27.1873 30.0102 -21.8217
      30     -22.1246 29.4946 -22.6496 12.2200 5.9452
      31     -28.7715 24.9365 -9.9358 -5.7518 20.6907
      32      -9.1585 17.6862 -17.7434 13.5077 -3.1950
      33     -12.6701 27.6394 -31.0385 23.2440 -6.9580
      34     -12.9396 27.5218 -31.2050 24.6781 -7.4581
      35      -9.2137 15.6290 -15.0971 9.8308 -0.5874
      36      -5.4786 18.5761 -22.9426 20.8213 -10.1340
      37      -2.8514 25.4645 -35.9195 35.8395 -21.5198
      38     -12.6033 24.5785 -25.6809 18.5559 -3.9318
      39     -17.2799 28.4382 -27.6088 19.7542 -2.2677
      40     -24.5350 37.5763 -37.2211 23.4667 1.1006
      41     -15.1813 26.0184 -26.1350 17.7786 -1.6624
      42     -10.5445 28.1804 -32.0504 29.2868 -11.8845
      43      -9.6045 23.1992 -26.6152 22.6712 -8.2692
      44      -5.5545 22.1234 -27.7113 26.1123 -13.0727
      45     -26.0829 39.5020 -36.1175 20.4673 3.6785
      46     -14.6247 22.4357 -19.8785 11.5226 1.8031
      47     -18.3912 31.6420 -30.8136 21.5041 -2.1834
      48     -39.9905 53.5728 -46.7758 23.2683 9.9866
      49     -16.1632 33.0141 -33.2248 27.0511 -6.2401
      50     -12.4213 32.3577 -38.1003 33.3332 -13.5877
      51     -12.4625 27.5490 -32.1846 24.7703 -8.1780
      52       0.2403 28.1908 -42.5326 43.4306 -29.1842
      53     -14.1153 24.9372 -25.2418 18.0650 -2.5514
      54      -8.4870 25.0099 -30.6830 25.6068 -10.9339
      55     -28.7208 29.4747 -18.9707 3.0166 16.2432
      56     -29.7516 35.4186 -28.5233 13.2905 9.0104
      57      -9.0898 29.5198 -34.3806 31.6449 -13.8541
      58     -20.2306 37.0421 -36.1491 25.2839 -3.5744
      59     -19.5113 36.8584 -35.2743 28.1146 -5.8987
      60     -31.4482 35.4754 -29.0986 11.5091 12.6869
      61      -8.6277 25.6671 -31.2790 27.2550 -12.8255
      62     -28.9562 30.1705 -18.8191 2.5364 16.5995
      63      -7.4937 24.8255 -29.1496 27.7272 -12.5639
      64     -43.0550 44.8638 -29.2975 6.2974 22.9543
      65     -35.5311 45.5089 -36.4087 17.8820 10.1507
      66     -29.3715 30.9884 -21.3000 5.8017 13.2562
      67     -27.3740 30.7457 -21.2382 7.9055 10.8296
      68      10.1927 12.5273 -27.3940 33.1234 -29.0108
      69     -43.0651 45.2506 -31.3317 9.3288 20.4150
      70     -21.5819 28.5244 -24.2323 12.8766 4.7594
      71     -25.8728 43.3308 -40.4949 28.5410 -1.9755
      72     -29.6822 42.1917 -36.8330 20.6581 5.4644
      73     -31.5840 37.3505 -28.0891 11.8113 11.3920
      74     -40.3105 50.3370 -39.7204 20.8764 11.1487
      75     -36.6335 48.0558 -39.4234 19.1818 10.4269
      76     -16.6491 29.1718 -28.3184 20.4997 -2.4898
      77     -18.5433 28.9678 -28.6627 17.8136 0.5125
      78      -9.6861 31.3109 -35.0770 30.7104 -14.1830
      79     -34.5297 31.7135 -17.6605 -4.3066 25.9930
      80     -11.2603 28.7680 -35.4799 30.2411 -11.6834
      81     -11.2409 23.6025 -26.1622 20.9655 -6.8646
