#Frame      Dih_00121 Dih_00122 Dih_00123 Dih_00124 Dih_00125
       1       4.9889 13.8947 -26.8718 31.2035 -21.2155
       2      -9.2308 31.5775 -39.6083 37.1750 -17.0237
       3      -2.3307 20.5595 -28.9977 29.2761 -16.4501
       4      -2.7055 22.6549 -32.6852 31.4215 -17.8043
       5     -24.7218 38.6464 -34.7688 20.9281 2.6004
       6     -11.5976 23.1376 -26.1214 18.5371 -4.6306
       7     -16.9707 31.2514 -32.5644 23.0910 -4.6378
       8      14.2210 15.1328 -36.9117 46.2266 -35.6782
       9     -23.2837 28.2522 -23.8093 10.6594 7.5856
      10     -22.9324 39.3929 -38.2996 24.5759 -2.2693
      11     -22.8300 33.1493 -28.9956 15.0791 4.6142
      12     -27.4535 44.0592 -43.3529 30.3018 -1.3918
      13     -34.3141 40.4711 -29.8327 12.0004 13.9116
      14     -43.3218 49.0076 -33.8924 9.4541 21.6628
      15     -38.4507 46.2340 -37.4074 17.6522 11.7295
      16     -28.5853 38.6869 -31.0821 16.0379 6.8040
      17     -35.7928 36.6129 -23.8182 3.5992 19.7604
      18     -35.7839 42.1308 -31.4520 10.6531 16.1652
      19     -33.5485 39.4249 -28.4876 14.1436 10.5377
      20     -30.1246 39.8404 -30.9691 13.8898 11.3993
      21     -39.2022 31.6102 -12.4470 -9.1184 30.3512
      22     -26.4151 39.1079 -35.9509 21.7473 3.3025
      23     -31.1415 41.8814 -38.6692 22.8512 4.4721
      24     -45.0867 44.3307 -31.6253 5.9219 26.5802
      25     -35.0944 36.3834 -23.8996 4.7144 18.7371
      26     -30.0709 42.9589 -40.4767 23.5195 3.6276
      27     -40.9807 40.7109 -27.1825 4.0100 22.5567
      28     -24.6578 30.4515 -25.7871 12.4575 7.2762
      29     -37.5394 33.0154 -18.3462 -1.6704 22.7723
      30     -10.5718 26.5970 -30.3042 25.3150 -9.7308
      31     -17.5228 28.4859 -27.2925 20.3503 -2.5218
      32       1.5076 12.9749 -20.1136 21.5239 -14.9915
      33     -33.9337 37.7866 -29.1360 9.0661 15.8596
      34     -23.6423 36.5999 -32.1163 18.6256 2.8451
      35     -28.8897 39.0830 -30.8871 14.8734 7.6325
      36     -20.7835 36.5122 -38.0106 28.0564 -4.3295
      37     -14.8070 33.7778 -37.2678 29.5148 -9.3023
      38     -35.1195 49.9434 -43.4162 25.1357 4.9343
      39     -12.7781 30.3119 -35.2490 28.0014 -9.5921
      40     -28.1713 40.7558 -36.8097 21.4425 4.3060
      41       1.1977 21.2501 -33.9598 36.1695 -23.0923
      42     -11.3797 25.3181 -28.5429 22.4992 -7.4197
      43     -14.0381 29.1324 -30.6457 24.9874 -6.6909
      44       3.7001 16.2253 -26.5454 30.0679 -20.9082
      45     -20.9830 33.3679 -31.5699 21.9773 -0.8394
      46       2.4748 16.4650 -28.2381 31.5586 -21.0281
      47      -1.6891 17.5448 -24.6831 26.4886 -15.2256
      48     -16.3852 33.3325 -37.0900 29.4714 -8.4914
      49     -16.5897 27.1241 -24.7061 17.2176 -0.9127
      50      -8.0990 26.5943 -31.5035 26.8190 -12.1996
      51     -26.3151 18.1462 -4.0483 -11.3494 24.1569
      52      -4.8670 20.6015 -26.2198 24.4807 -13.3022
      53     -12.2737 21.1602 -21.2291 14.9281 -2.0087
      54     -10.3689 21.8881 -24.2244 19.1161 -5.6786
      55      -2.6078 22.5685 -32.4713 33.0270 -18.5277
      56      -5.3328 21.3328 -26.4323 25.8600 -13.3081
      57     -11.3582 7.9701 -2.2569 -3.8691 9.4950
      58      -3.8498 15.7448 -20.4856 18.3344 -9.2832
      59      -6.0668 20.6649 -26.3117 22.2992 -10.0063
      60      -9.7590 25.8936 -31.3680 25.1111 -10.5047
      61     -15.3621 26.6028 -28.4696 21.0965 -3.3987
      62     -22.0518 26.7167 -21.6914 8.2777 9.0663
      63     -19.7506 18.8660 -10.5807 0.1487 12.4569
      64     -28.5398 26.3925 -15.7955 -0.8980 19.8110
      65     -38.3874 32.1137 -13.3385 -8.4698 30.7281
      66     -28.1589 38.2179 -32.6379 16.4840 8.6441
      67     -11.0544 31.6650 -40.1893 37.8357 -15.6464
      68     -23.8971 39.2483 -37.4699 24.3139 -0.5037
      69     -19.6619 30.3308 -29.6351 18.9835 0.4274
      70      -2.7856 18.2240 -25.8505 24.5014 -14.6031
      71     -14.8869 27.6267 -28.1804 19.7057 -3.4096
      72     -13.2283 29.7000 -33.7297 27.6430 -8.5709
      73      -9.6086 18.0817 -20.0466 16.1511 -3.6433
      74     -24.2301 35.8206 -30.6886 18.3940 3.4392
      75     -19.8674 20.9907 -15.1148 4.2239 9.6376
      76     -22.9877 39.1166 -37.1485 27.0797 -2.2962
      77     -11.7906 30.4220 -36.0522 30.6744 -12.0242
      78     -10.3937 30.0537 -36.0067 32.9955 -14.3763
      79       2.0826 17.5225 -28.7949 31.2104 -21.1189
      80       0.0985 20.2534 -30.3058 32.9236 -19.9655
      81      -6.2955 26.9768 -35.8295 31.4226 -15.8194
      82     -14.7393 30.3002 -31.1163 23.5622 -5.8756
      83     -17.9555 35.5514 -36.0531 27.0301 -6.1007
      84     -14.3242 31.5238 -38.0025 29.0890 -9.3237
      85     -13.4548 31.6574 -35.3096 29.3226 -10.2457
      86       0.0566 16.4006 -26.1363 27.7867 -17.3666
      87     -15.5374 32.3570 -34.8310 25.4253 -7.0026
      88      -1.8408 18.1370 -25.5535 24.6082 -15.2370
      89      -9.4213 23.4789 -25.7906 22.3336 -8.2133
      90     -19.6059 25.1254 -20.8233 8.8861 6.5669
      91     -11.2869 26.9971 -32.5700 27.3157 -10.5071
      92      -5.1752 21.7571 -27.1365 25.5331 -13.4576
      93      -6.7574 21.3881 -27.9269 23.8770 -10.8746
      94      -3.9396 21.8112 -28.2410 26.5782 -14.7251
      95     -29.5390 34.6280 -24.1651 6.6290 14.7260
      96      -9.1163 26.5310 -31.2737 29.6963 -13.1538
      97     -19.7040 33.6682 -34.0629 24.8981 -2.9992
      98     -32.3604 42.6284 -36.0295 17.5548 9.5562
      99     -24.4877 37.3426 -34.5533 26.4875 -1.8493
     100       1.1580 17.2882 -27.8881 31.7121 -20.4977
     101      -2.1057 19.0311 -26.3695 27.3725 -15.7518
     102     -18.8013 31.2322 -28.4554 19.0647 -0.6594
     103     -10.1235 27.3903 -34.8552 29.5390 -11.4051
     104     -30.3341 44.8600 -40.4128 23.7240 3.6274
     105     -18.0727 34.0520 -36.8440 27.6318 -6.1989
     106      -8.1663 26.0157 -33.5572 31.0930 -14.9910
     107     -25.6586 37.6057 -33.2482 20.1430 2.8779
     108     -18.2748 31.2595 -30.4580 20.4047 -2.2016
     109      -6.6775 25.9583 -34.1469 32.8579 -15.9072
     110       3.7357 16.5487 -27.8516 30.8291 -21.7516
     111     -14.2902 26.5311 -29.2679 21.4806 -4.5968
     112      -0.3221 21.1782 -32.9119 33.3576 -19.9590
     113     -31.7632 29.3683 -15.9405 -2.7546 23.1024
     114     -19.7628 31.5914 -29.3571 18.8766 0.7039
     115     -20.0747 29.7377 -24.9252 14.4295 3.5680
     116     -12.3592 25.7725 -29.2475 21.9063 -6.3960
     117      -6.4553 27.2632 -38.4075 34.8053 -17.6390
     118       0.1906 17.2120 -26.7191 27.3091 -17.3783
     119     -11.2519 25.9058 -29.3768 21.7790 -7.3862
     120     -16.5069 31.6906 -34.5764 26.4116 -7.1334
     121     -23.6980 37.0727 -33.8247 21.6895 0.8085
     122     -11.1736 27.1732 -30.0047 26.2409 -9.1928
     123     -10.4831 27.0531 -32.0901 27.7887 -11.6011
     124     -33.6264 44.2671 -39.2872 22.9236 6.5437
     125      12.4004 8.4948 -24.3777 32.7323 -28.4298
     126     -20.3640 37.5518 -35.4872 24.4070 -3.0162
     127     -18.3155 36.4176 -38.5682 26.7460 -5.2679
     128     -34.2205 38.7097 -27.5993 7.6478 16.8569
     129     -21.3038 35.1078 -33.7546 25.0401 -2.9872
     130      -9.6686 28.4970 -33.4053 29.5518 -12.9381
     131     -30.6772 39.4006 -32.2089 17.8183 6.9502
     132      -7.3780 26.2068 -34.7677 30.6664 -14.5625
     133     -23.1527 37.1648 -35.7278 24.0811 -1.3170
     134       1.9523 19.0383 -29.8220 33.1972 -21.7570
     135       6.9854 17.1352 -34.1614 37.5079 -29.2258
     136     -18.6420 28.5425 -27.7810 20.0237 -0.8623
     137      -2.2074 23.2405 -33.5636 31.7877 -18.4750
     138      -7.9408 30.2772 -39.5822 36.3562 -18.9047
     139     -26.0215 41.5068 -42.3007 30.4205 -2.2612
     140     -18.4247 34.0050 -36.5146 26.6155 -5.6954
     141     -12.5278 28.4408 -32.9677 24.7652 -8.6712
     142     -18.8835 31.6808 -30.0892 21.2632 -1.7460
     143      -7.6275 28.0042 -36.5564 34.5318 -16.3191
     144     -28.7138 35.8726 -28.0508 11.8925 10.5929
     145     -21.9856 36.6496 -39.1101 26.5221 -3.3223
     146      -8.3791 26.5368 -31.6534 27.3743 -13.4464
     147     -12.4356 30.8252 -34.2018 30.7862 -11.5986
     148     -27.0326 44.2370 -37.6815 23.2702 2.1435
     149       1.3197 16.3279 -26.1107 29.3005 -19.3734
     150     -24.1702 33.8336 -26.4030 14.3728 4.9093
     151     -10.9991 29.8434 -36.5471 32.9559 -13.3519
     152     -26.4593 36.5248 -34.9061 22.0509 3.2216
     153     -18.7325 30.1812 -28.7722 18.4952 -0.6354
     154     -36.3996 39.4458 -25.7548 7.1237 17.5321
     155     -27.5734 39.1316 -33.2745 17.9867 5.5306
     156     -41.3697 42.4979 -27.6510 3.7328 23.7419
     157     -40.7383 44.5729 -27.6457 3.8105 25.2555
     158     -33.7392 42.9404 -36.3691 18.1812 10.0144
     159     -40.2353 44.5832 -32.4150 10.9062 19.2392
     160     -39.7869 46.0086 -36.0125 16.2441 13.6208
     161     -41.3774 43.1987 -25.3978 0.7342 25.7347
     162     -23.6081 41.5225 -42.3826 29.1022 -4.3786
     163     -15.8644 30.7515 -32.8898 23.9318 -4.6118
     164     -42.8990 48.3863 -36.2556 14.7062 16.9485
     165     -35.2363 47.2532 -39.3306 20.9567 8.7965
     166      -7.6141 29.7531 -39.6416 37.6406 -19.3493
     167     -29.1383 41.3961 -39.8000 26.3547 1.5405
     168     -32.7476 48.2986 -39.0114 20.2050 7.6865
     169     -13.8367 27.3639 -28.9622 21.4819 -5.2725
     170     -26.4367 34.7429 -28.4594 16.0397 5.7677
     171     -18.0252 28.9495 -26.6765 16.8750 0.8893
     172     -27.1507 39.7822 -36.0622 21.6220 3.7525
     173     -35.5495 43.7906 -33.7311 14.6891 13.6350
     174     -24.5060 40.8860 -38.1541 23.6999 0.1669
     175     -30.0653 42.9444 -38.6907 19.5928 6.3545
     176     -33.2304 41.4940 -32.4752 14.8174 10.5083
     177     -29.9116 38.8489 -33.3288 17.2235 7.2733
     178     -31.0548 43.7328 -41.9356 23.8793 4.9899
     179     -44.8904 35.9152 -13.1849 -14.1227 38.2624
     180     -38.9716 24.9384 -3.5847 -18.6609 34.8731
     181     -34.4220 21.1105 -0.6680 -20.3646 35.6245
     182     -27.3224 10.9564 8.2706 -24.9314 33.3533
     183     -34.7232 11.9302 13.0149 -33.2084 41.9052
     184     -35.6893 20.3844 2.0696 -23.8444 38.1372
     185     -41.9602 51.3076 -35.0150 11.5885 18.7832
     186     -15.4458 29.0746 -29.4290 20.8494 -3.8212
     187     -33.7632 40.1126 -31.0820 12.6729 13.0322
     188     -26.1315 33.1735 -26.6493 11.1347 9.3171
     189     -13.1585 33.3418 -37.9100 32.5513 -13.3884
     190      -8.1592 27.2161 -32.4251 28.9309 -13.8165
     191     -28.9270 35.4384 -29.3476 13.9210 8.9557
     192      -8.8997 24.1101 -28.5307 25.9784 -10.6974
     193     -24.0909 20.2360 -9.3062 -3.9606 17.1087
     194     -21.4763 31.0198 -28.2166 18.1938 1.7052
     195     -25.4619 39.1092 -35.6202 24.6545 0.8580
     196     -25.5240 32.3528 -25.1088 11.8927 7.4766
     197     -16.2189 27.6667 -27.0798 18.4282 -1.5252
     198     -21.6533 27.4247 -22.0226 10.9512 6.5679
     199      -4.3554 23.2998 -31.1580 30.1934 -16.5180
     200     -16.0219 30.4053 -31.9120 25.7426 -6.9018
     201     -22.3742 29.5539 -25.3551 13.8899 5.1919
     202     -24.1468 35.2228 -28.8581 17.8073 2.2991
     203     -26.7027 39.1785 -37.3369 24.4906 1.1465
     204     -42.7944 48.8523 -33.2732 9.0535 20.4211
     205     -28.5557 45.7961 -44.0723 30.7779 -2.3053
     206     -35.8034 39.8403 -29.2769 6.9374 18.9719
     207     -10.7348 25.7578 -31.1569 27.1884 -10.3494
     208      -5.3876 24.6964 -31.4262 31.4258 -16.6211
     209     -13.3048 26.6598 -27.4373 20.1822 -4.3958
     210      -7.5428 30.5227 -39.5524 34.1488 -17.6039
     211     -19.5515 30.3954 -30.8271 20.3532 -0.6064
     212     -33.6843 32.6702 -19.2479 1.1082 18.8676
     213     -27.5414 31.6968 -25.4354 9.6568 11.0864
     214     -31.1858 34.4481 -24.9620 7.9208 15.2539
     215     -19.1075 26.2545 -21.1582 11.5965 3.7346
     216     -24.5364 37.5430 -34.7427 21.5682 1.5828
     217     -33.6316 32.4545 -19.5375 1.2110 20.5093
     218     -39.3980 40.7895 -25.5944 4.1142 21.6754
     219     -37.4828 38.1717 -21.5641 -1.5110 24.3862
     220     -22.7609 33.5429 -30.0371 16.6198 3.4508
     221     -13.6538 31.2293 -35.0825 29.3686 -9.7303
     222     -37.3672 48.1418 -40.2081 23.3204 7.3935
     223     -21.5318 32.7891 -33.4527 21.3642 1.2134
     224     -21.6342 27.9964 -24.2962 13.7561 4.3753
     225     -17.5469 30.8503 -31.8087 22.5653 -4.5657
     226      -9.0095 30.2203 -38.8808 36.0462 -16.3944
     227      -7.8192 24.7043 -30.0398 25.6228 -11.9077
     228     -19.0995 33.1335 -33.0957 23.6361 -2.8069
     229     -24.1163 28.1749 -24.0467 11.6862 7.5781
     230       0.8421 18.2873 -28.5910 30.1348 -20.2346
     231      16.5307 7.4408 -25.9568 36.2859 -33.9486
     232      -9.3900 26.9986 -33.6291 29.2880 -12.7240
     233       8.2797 18.0202 -34.4379 41.3267 -30.7074
     234     -22.9716 24.7156 -16.6321 3.7904 12.3439
     235      -2.4126 20.8232 -29.1884 31.1675 -18.4834
     236       0.3828 21.3038 -33.6650 36.4819 -23.6119
     237     -24.6877 29.8920 -25.0899 11.8969 7.5950
     238     -38.4197 43.6438 -29.4890 9.0578 17.5754
     239     -36.7246 32.0674 -14.6752 -6.4010 26.2499
     240     -50.0569 29.7973 -1.1476 -25.7245 47.2126
     241     -17.0462 28.6684 -29.7779 20.7263 -2.2175
     242     -19.9839 34.7753 -32.9214 24.1764 -3.9274
