#Frame            all
      10       0.0000
      20       1.1550
      30       1.4083
      40       1.3400
      50       1.7228
      60       1.8516
      70       1.9794
      80       1.9486
      90       2.0680
     100       2.2690
     110       2.4373
     120       2.4532
     130       2.4484
     140       2.1328
     150       2.2644
     160       2.3217
     170       2.1287
     180       2.6266
     190       2.6489
     200       2.6265
     210       2.4357
     220       2.6898
     230       2.8710
     240       3.1108
     250       3.1868
     260       3.3510
     270       3.1897
     280       3.5304
     290       3.5307
     300       3.6637
     310       3.5042
     320       3.4315
     330       3.6431
     340       3.7015
     350       3.4147
     360       3.4152
     370       3.5318
     380       3.7383
     390       3.4585
     400       3.7231
     410       3.6013
     420       3.5878
     430       3.9119
     440       3.8925
     450       3.8948
     460       3.8214
     470       3.5173
     480       3.4770
     490       3.4356
     500       3.3452
     510       3.1053
     520       2.9819
     530       3.1901
     540       3.1132
     550       3.2079
     560       3.1426
     570       3.2850
     580       3.1027
     590       3.1501
     600       3.7817
     610       4.0839
     620       4.6429
     630       4.9982
     640       4.9462
     650       4.2679
     660       4.2883
     670       4.4987
     680       4.0411
     690       4.1232
     700       4.3498
     710       4.3827
     720       4.4156
     730       4.9491
     740       4.9328
     750       5.0248
     760       5.0695
     770       5.5137
     780       5.5954
     790       5.7265
     800       5.6949
     810       5.0151
     820       5.7988
     830       5.7576
     840       5.4651
     850       5.4655
     860       5.5771
     870       5.9547
     880       5.5760
     890       5.8491
     900       5.8980
     910       5.5790
     920       5.2461
     930       5.4867
     940       5.3640
     950       5.7870
     960       5.7776
     970       5.8377
     980       5.6477
     990       6.1038
    1000       6.0541
    1010       5.7147
    1020       5.6871
    1030       5.3921
    1040       6.1931
    1050       5.9954
    1060       5.9083
    1070       5.5134
    1080       5.8076
    1090       5.6590
    1100       5.7829
    1110       5.7756
    1120       5.8341
    1130       6.1745
    1140       6.4009
    1150       6.8929
    1160       6.6351
    1170       6.8789
    1180       6.8067
    1190       7.0463
    1200       6.8123
    1210       6.9077
    1220       6.6921
    1230       6.8801
    1240       6.6286
    1250       6.0411
    1260       5.9573
    1270       5.7960
    1280       5.8645
    1290       5.8815
    1300       5.8446
    1310       5.8296
    1320       5.6278
    1330       6.0791
    1340       6.0110
    1350       6.0061
    1360       6.0117
    1370       6.5304
    1380       6.1115
    1390       6.3494
    1400       6.1737
    1410       6.0793
    1420       6.2171
    1430       6.4293
    1440       6.1149
    1450       6.4406
    1460       6.1424
    1470       6.0344
    1480       6.0398
    1490       5.7702
    1500       6.2746
    1510       5.7525
    1520       6.1397
    1530       6.4730
    1540       6.7591
    1550       6.3271
    1560       6.3141
    1570       5.8269
    1580       5.9811
    1590       5.8397
    1600       5.9641
    1610       5.9617
    1620       6.2027
    1630       6.7473
    1640       6.2853
    1650       5.9949
    1660       6.3102
    1670       6.2947
    1680       6.1022
    1690       6.3644
    1700       6.3361
    1710       6.4962
    1720       6.1273
    1730       5.9916
    1740       5.7647
    1750       5.9388
    1760       6.0224
    1770       6.1730
    1780       6.7423
    1790       6.4906
    1800       6.1966
    1810       5.8727
    1820       6.2123
    1830       6.0955
    1840       5.9428
    1850       6.3831
    1860       6.6780
    1870       5.9879
    1880       5.6207
    1890       5.7996
    1900       6.3445
    1910       6.2222
    1920       5.9357
    1930       6.0727
    1940       6.1806
    1950       6.2633
    1960       6.0726
    1970       6.2481
    1980       6.1729
    1990       6.3224
    2000       6.4827
    2010       6.5902
    2020       6.4389
    2030       6.1597
    2040       6.5226
    2050       6.7797
    2060       6.6596
    2070       6.5368
    2080       6.6146
    2090       6.4398
    2100       6.4080
    2110       6.2675
    2120       6.5094
    2130       6.3173
    2140       6.0758
    2150       6.3182
    2160       5.9421
    2170       6.7150
    2180       6.5170
    2190       6.3460
    2200       6.1713
    2210       5.7941
    2220       5.6688
    2230       5.0708
    2240       5.5632
    2250       5.6469
    2260       5.9259
    2270       5.5566
    2280       5.0885
    2290       5.2917
    2300       5.6668
    2310       5.6835
    2320       6.2164
    2330       5.8554
    2340       6.0943
    2350       5.9654
    2360       6.2292
    2370       6.1650
    2380       6.0134
    2390       6.1453
    2400       6.0721
    2410       6.7689
    2420       6.8515
    2430       6.7766
    2440       6.7606
    2450       6.8287
    2460       6.8959
    2470       6.7700
    2480       7.0584
    2490       6.7314
    2500       6.4291
    2510       6.3910
    2520       6.7403
    2530       6.4779
    2540       6.3468
    2550       6.0898
    2560       6.3445
    2570       6.1196
    2580       6.5362
    2590       6.3374
    2600       6.1057
    2610       5.6131
    2620       5.9368
    2630       5.7875
    2640       5.7117
    2650       5.9677
    2660       6.1055
    2670       6.6025
    2680       6.1333
    2690       6.0226
    2700       6.2654
    2710       5.8365
    2720       5.9688
    2730       5.8991
    2740       6.4319
    2750       5.8733
    2760       5.7917
    2770       5.9402
    2780       6.1538
    2790       6.1051
    2800       5.9798
    2810       5.8725
    2820       6.2555
    2830       5.9788
    2840       5.8172
    2850       6.2127
    2860       5.9154
    2870       6.3497
    2880       6.2985
    2890       6.3896
    2900       6.1510
    2910       6.1398
    2920       6.0539
    2930       6.0605
    2940       6.1603
    2950       5.9704
    2960       5.7539
    2970       6.0184
    2980       6.4490
    2990       5.9453
    3000       6.2188
    3010       6.4176
    3020       6.3969
    3030       6.7122
    3040       6.3045
    3050       6.7879
    3060       6.3123
    3070       6.8599
    3080       6.5651
    3090       6.6977
    3100       6.7594
    3110       6.8492
    3120       7.3455
    3130       6.5862
    3140       6.7729
    3150       6.4899
    3160       6.4482
    3170       6.9219
    3180       6.9465
    3190       6.8141
    3200       7.1341
    3210       6.7104
    3220       6.5532
    3230       6.4426
    3240       6.6881
    3250       6.6477
    3260       6.5238
    3270       6.5341
    3280       6.5005
    3290       6.3835
    3300       6.5768
    3310       6.0682
    3320       6.0645
    3330       6.2474
    3340       6.0674
    3350       6.3735
    3360       6.1658
    3370       6.2790
    3380       6.1180
    3390       6.3793
    3400       6.0319
    3410       6.1193
    3420       5.5978
    3430       5.8805
    3440       5.5037
    3450       5.2949
    3460       5.7742
    3470       5.8138
    3480       5.8045
    3490       5.7571
    3500       5.6699
    3510       5.6244
    3520       5.5428
    3530       5.4470
    3540       6.0148
    3550       6.0292
    3560       5.9195
    3570       6.0658
    3580       5.7889
    3590       6.1962
    3600       6.2469
    3610       5.9308
    3620       5.9444
    3630       6.3172
    3640       6.3121
    3650       5.9712
    3660       5.7807
    3670       5.7193
    3680       5.8452
    3690       5.9080
    3700       5.8795
    3710       5.9705
    3720       5.7144
    3730       5.9059
    3740       5.7345
    3750       5.2611
    3760       5.2396
    3770       5.5580
    3780       5.6839
    3790       5.4097
    3800       5.4813
    3810       5.5534
    3820       5.7277
    3830       5.7901
    3840       5.8246
    3850       6.0614
    3860       5.6574
    3870       5.3933
    3880       5.2708
