#Frame      Dih_00091 Dih_00092 Dih_00093 Dih_00094 Dih_00095
       1      -4.6139 24.9692 -33.7357 33.3465 -17.9924
       2     -20.3240 33.8794 -34.8567 23.9127 -1.5825
       3     -19.4311 36.2201 -37.0402 30.2683 -8.1434
       4     -26.9398 34.9358 -30.7297 16.8090 5.6378
       5     -18.8209 37.2705 -40.8389 29.2417 -7.3096
       6       1.0480 21.9387 -33.0137 36.0479 -23.6791
       7     -23.8267 35.8058 -32.3140 19.3810 2.4192
       8      -8.7596 28.1281 -34.9766 32.8861 -15.3905
       9     -13.7613 33.4314 -38.3110 32.0726 -12.8225
      10     -29.3256 37.1731 -31.7284 17.3306 6.2606
      11      -7.2239 26.9637 -34.8470 31.5142 -15.3479
      12     -34.8230 45.4780 -36.8614 18.2724 9.6768
      13     -25.2763 42.4074 -43.0636 33.8355 -5.6021
      14      -6.0772 27.3865 -35.1819 33.8834 -18.3943
      15     -36.0448 46.8690 -37.5584 18.4516 11.3813
      16     -35.7498 42.9452 -34.1315 15.7791 13.1076
      17     -23.2265 39.2313 -39.0612 27.5777 -3.3824
      18     -28.1487 40.2615 -34.7371 19.6768 4.4852
      19     -19.7601 39.9463 -40.9541 29.8716 -5.5817
      20     -20.8993 33.9652 -33.2509 22.3349 -2.1080
      21     -22.0391 36.0549 -34.2416 24.1661 -2.0454
      22     -31.3405 46.2484 -41.8983 25.9234 3.2326
      23     -19.3077 34.2650 -36.4753 24.3351 -3.1413
      24     -26.6484 37.6445 -34.5538 21.5211 2.2086
      25     -22.9247 36.7294 -34.8875 24.7249 -1.1410
      26     -15.2291 23.4890 -21.2775 13.0785 1.5118
      27     -27.0245 43.3892 -42.1808 27.6599 0.0725
      28       9.2310 18.6690 -37.1672 42.5693 -32.8020
      29     -29.1172 37.2132 -32.1965 18.5462 7.2426
      30     -31.0816 27.7629 -17.4802 0.4940 20.0403
      31     -34.8365 38.6548 -27.8344 11.1831 14.0546
      32     -18.9821 35.5388 -34.6303 26.5566 -5.1542
      33     -19.3241 39.5714 -41.8684 30.5185 -7.0819
      34     -18.2008 34.1834 -36.3835 26.0681 -4.3569
      35     -19.1559 32.1813 -29.0544 19.0675 -0.1591
      36     -38.1166 51.2557 -42.7657 22.6255 9.9787
      37     -24.6723 39.8647 -36.4417 23.9320 -0.5017
      38     -32.4022 39.0560 -30.6694 13.6435 11.0629
      39     -37.0779 46.3666 -38.5659 18.6582 11.4296
      40     -31.5924 38.1675 -30.2444 12.8475 11.9792
      41     -28.4558 41.0552 -34.5835 20.6556 4.3567
      42     -38.3377 45.6510 -33.1608 12.2385 16.5773
      43     -35.4712 42.6076 -33.8554 13.0100 15.1649
      44     -32.1283 37.1824 -25.8952 7.5473 15.2966
      45     -31.5050 43.3806 -35.9159 20.1008 6.9822
      46     -36.5114 46.9766 -39.9964 19.1366 9.6490
      47     -12.6131 32.0800 -38.7367 30.7052 -11.6256
      48      -5.1140 24.5266 -32.6704 31.7083 -16.3247
      49     -10.5635 24.4355 -27.2996 22.0210 -7.9130
      50     -13.3743 23.7319 -23.4655 17.1380 -2.2779
      51     -33.8162 41.8921 -33.7872 13.6532 12.7943
      52     -21.7554 28.0288 -21.7239 8.7355 8.0655
