#Frame      Dih_00116 Dih_00117 Dih_00118 Dih_00119 Dih_00120
       1      -1.1955 -9.6904 15.5404 -16.3981 11.1251
       2       6.3637 -20.1475 25.5153 -23.2577 10.0797
       3      24.4614 -34.9540 31.3630 -15.9647 -5.5467
       4      10.4347 -23.2678 25.0559 -19.8883 5.8234
       5       9.8370 -10.3712 7.1273 -1.5919 -5.2534
       6      18.3613 -24.1443 20.5238 -9.3553 -5.4836
       7      19.0034 -27.0493 22.7070 -10.7123 -4.7771
       8       1.9709 -17.6735 24.4410 -23.7169 13.9289
       9      15.9789 -11.9852 3.2757 6.6329 -14.1780
      10      24.0550 -20.0822 9.2804 4.0413 -16.6545
      11      -4.1076 -13.0097 23.4157 -27.9215 19.5605
      12     -16.6897 -2.5511 18.3403 -29.1399 30.2503
      13     -13.8667 -6.0898 21.4849 -31.9265 29.0581
      14     -13.0790 -12.7784 31.2903 -39.5042 33.0666
      15      -6.8452 -15.9164 29.8091 -36.0230 26.8543
      16       8.7456 -32.5348 40.1005 -35.0194 17.9959
      17      -5.5604 -21.1179 36.4643 -38.7084 29.7837
      18      -0.8839 -13.9231 22.3840 -24.2965 16.3180
      19     -18.0313 -6.8477 25.1033 -35.8082 36.9725
      20       5.9869 -20.3423 26.3799 -23.7906 11.2936
      21      16.5698 -36.0484 38.7970 -30.4837 9.6292
      22      22.4655 -30.6605 27.2540 -14.5976 -4.9062
      23       5.5299 -22.2827 27.1294 -23.6388 11.8143
      24       8.2603 -24.0829 29.6580 -25.0671 11.7258
      25       8.3708 -25.6702 29.4276 -25.1028 11.1167
      26      10.6834 -26.5412 29.7744 -25.4646 9.6332
      27      10.3640 -27.7518 31.0169 -27.9552 11.1348
      28       1.9248 -15.0160 20.3852 -21.7166 13.3589
      29       1.8530 -12.6415 16.3523 -15.1581 8.7786
      30      -8.0349 -8.4394 21.5881 -26.5381 20.9982
      31       9.4587 -16.0364 16.5428 -10.4037 0.8849
      32     -13.7145 -5.4716 20.2711 -29.8375 27.4198
      33      -3.5316 -8.0539 15.8266 -18.8780 14.9271
      34     -22.2537 3.2432 16.3455 -31.2360 33.7586
      35     -11.1971 -10.4184 26.8912 -31.6430 28.4542
      36     -24.8757 0.2645 21.6641 -37.1511 39.1265
      37     -25.5001 4.6002 15.9916 -33.7667 39.5474
      38     -10.0003 -10.1068 24.0632 -32.2055 26.2516
      39     -19.5332 -8.3056 30.5546 -44.4129 41.3804
      40     -31.8963 12.3797 9.3201 -29.4379 39.1897
      41      21.0674 -30.9831 26.5557 -16.0651 -3.4058
      42      13.8012 -23.0095 22.4312 -15.8420 1.7195
      43      21.2529 -25.6419 17.9655 -6.9189 -7.9929
      44      10.1248 -7.6283 2.7970 2.8715 -8.2546
      45      21.8709 -36.2734 32.8871 -19.9858 -1.7042
      46     -13.6413 -11.9320 29.7762 -39.0907 32.7368
      47      -8.2454 -7.3447 18.0951 -24.9769 20.4264
      48      13.5307 -24.1705 23.8061 -15.1696 1.2227
      49      17.9115 -22.8874 19.5081 -9.5357 -5.4628
      50       1.2972 -17.8779 25.7147 -24.6774 15.8421
      51       5.9433 -16.5566 18.2476 -16.2491 7.0890
      52      27.2244 -33.5687 28.2064 -12.7856 -9.1217
      53       4.4306 -23.8665 31.8729 -28.5675 16.7049
      54       4.4755 -30.4600 43.4466 -39.8850 23.3982
      55       8.5346 -28.7252 38.0442 -31.9736 15.2880
      56      10.2785 -24.5023 28.3385 -23.2460 8.4699
      57      -1.5035 -18.3472 27.4999 -30.1755 20.6787
      58      21.9389 -38.9313 38.5127 -25.6532 1.6683
      59      17.5374 -30.0425 29.0353 -19.2040 2.1199
      60      21.5940 -33.8142 30.6696 -18.2422 -2.2878
      61       6.7594 -20.1574 23.5711 -22.5589 10.1703
      62       0.9558 -19.8865 29.4167 -30.4609 18.8593
      63       1.5551 -21.7127 31.1954 -30.1540 18.7042
      64      12.4014 -22.9617 23.9886 -16.3627 2.1389
      65       2.6104 -22.0220 29.3722 -28.3241 17.0875
      66       4.9929 -20.8668 27.1614 -24.0468 12.2476
      67      20.9986 -26.6285 21.2413 -9.8895 -6.7495
      68      15.8328 -19.8584 13.4694 -5.3557 -6.6448
      69       7.6801 -18.7943 21.6244 -18.3616 7.3788
      70      17.3733 -24.6133 23.7640 -14.9095 -1.1586
      71      20.4778 -21.2245 14.4276 -1.6397 -12.3137
      72      24.7458 -30.0344 25.2786 -10.7527 -9.2518
      73      25.0120 -34.8298 28.6629 -13.4156 -7.8512
      74      12.8821 -26.4071 29.1711 -23.2745 6.7228
      75      -8.0693 -12.3131 25.4078 -32.8885 26.8192
      76       8.0789 -25.9680 32.2610 -28.1428 13.4000
      77      23.8013 -33.0981 29.5180 -16.4574 -3.5388
      78      13.0250 -23.0717 22.7862 -15.3805 1.5859
      79      20.4065 -27.0104 21.0910 -9.5493 -6.0534
      80      21.6717 -28.3706 21.6152 -9.8059 -7.5084
      81      21.4660 -29.2421 25.8089 -12.9671 -5.3968
      82      14.3675 -30.6302 33.9662 -28.2239 8.0273
      83       1.6750 -22.0051 31.2814 -31.2508 20.3444
      84       4.8477 -15.8148 19.8962 -16.9491 7.8273
      85      15.9131 -27.7647 26.4827 -18.5560 2.0351
      86      25.4840 -39.3261 33.0428 -18.0981 -4.3573
      87       9.3626 -20.8347 23.9203 -20.0214 6.7442
      88       3.6994 -23.2890 31.8121 -32.7638 18.5403
      89     -12.6227 -9.5405 26.6480 -34.8945 31.2094
      90       8.8466 -24.0747 26.5251 -22.1563 8.7902
      91      -7.7749 -10.6374 23.4409 -29.1674 22.8726
      92       6.1906 -18.5490 23.1438 -20.8684 9.5863
      93      -0.5248 -12.0082 19.0983 -19.6030 13.0565
      94       5.2852 -16.7098 20.8432 -18.7608 8.7041
      95      -0.5503 -15.8174 24.4374 -24.5217 17.3423
      96       3.4066 -3.9575 3.0232 -0.9534 -1.5742
      97       2.8276 -7.9433 8.7088 -7.7394 3.6389
      98     -15.2617 10.2742 -1.8196 -7.3898 13.9155
      99      -3.1231 -12.9300 22.7842 -24.5785 16.9861
     100       8.3200 -18.1139 20.9413 -16.7608 5.2469
     101     -14.2062 -0.1140 12.5668 -21.3292 22.6049
     102      13.6435 -31.1979 34.2226 -28.7246 9.9566
     103       0.3688 -16.4960 23.6683 -24.9312 15.2305
     104      17.0916 -31.5948 30.9461 -20.8206 2.6879
     105       2.8863 -23.0650 32.3164 -30.8355 19.1150
     106      -7.7025 -5.5424 15.5248 -20.4833 17.8917
     107      11.1978 -19.6370 21.2984 -15.6564 2.4236
     108      -8.5996 -15.0801 31.9993 -37.7569 28.1964
     109       0.6107 -24.1888 37.2416 -36.4863 23.3635
     110      -3.2750 -16.6533 28.5678 -30.1095 22.9258
     111     -14.4566 0.7612 12.1517 -20.4591 20.6014
     112      -4.5274 -20.2670 34.4885 -38.1482 27.6908
     113      10.6982 -18.6596 19.2747 -13.9786 2.2779
     114      -3.2135 -13.8920 23.8090 -25.8963 19.0427
     115      -1.4375 -18.2511 29.2720 -30.2046 20.7723
     116      -2.1093 -16.0221 26.5047 -29.1947 19.3919
     117      16.5839 -25.2049 26.3443 -17.5665 0.3544
     118      18.2275 -30.6236 30.3229 -20.1855 1.3536
     119      21.7139 -32.8273 29.0285 -15.4399 -4.2171
     120      17.4053 -21.2717 17.9970 -7.3543 -6.5487
     121      34.3528 -35.3134 22.3053 -3.2741 -18.6700
     122       5.5482 -17.7299 20.5100 -19.0477 8.8763
     123       7.0577 -21.6335 27.1948 -25.0444 11.0348
     124      13.1165 -25.3683 25.4869 -18.3147 3.4802
     125     -14.8953 -10.7602 27.8902 -38.5135 34.8147
     126       8.7767 -22.7277 26.8272 -22.4152 8.6431
     127      -3.3523 -16.7742 26.8888 -29.6889 22.0089
     128       6.8472 -19.8787 24.1662 -22.0238 8.9960
     129     -12.9085 -10.7915 25.9429 -36.3020 32.1222
     130      11.2446 -30.5304 37.1414 -31.4009 13.5773
     131     -11.4846 -12.7550 29.2074 -37.9024 32.1444
     132       7.0841 -25.4223 31.1892 -29.3890 14.4596
     133     -14.7112 -3.7916 18.5368 -28.2574 27.7530
     134     -11.5485 -5.8877 19.2769 -28.8266 25.7872
     135       1.3714 -22.5540 33.0824 -34.3571 21.1520
     136      10.1213 -18.5346 17.9363 -13.7972 2.7211
     137      12.8486 -27.6149 28.4306 -22.5413 6.3047
     138       9.0291 -21.8912 24.1828 -19.0849 6.7757
     139      13.8784 -26.5096 27.2891 -20.0650 5.0590
     140      -1.2404 -16.1405 25.1960 -27.2115 19.2961
     141       6.0766 -24.4806 30.8566 -29.1194 15.1249
     142       9.3640 -19.2867 19.9799 -16.6617 4.9485
     143      27.0182 -34.4902 30.4888 -16.0564 -6.8728
     144      10.7999 -38.2902 45.1514 -38.9519 18.8252
     145     -10.2916 -17.4784 34.4385 -39.2960 31.2210
     146      -3.8063 -24.5272 39.6115 -46.3354 30.8567
     147      -2.4607 -16.7810 26.2857 -28.8195 20.4437
     148       3.3057 -27.4852 37.2993 -36.3643 21.6943
     149      -4.7644 -13.3273 23.6461 -28.5685 21.9586
     150      21.7324 -23.4070 17.3429 -4.3798 -11.2411
     151      10.3493 -21.9798 22.6625 -17.3582 4.8507
     152       9.5913 -26.4448 29.1583 -24.5495 10.5797
     153      24.2754 -25.5965 17.1243 -2.9668 -13.8005
     154      15.5607 -26.2526 25.5568 -18.5024 1.6354
     155      -0.6619 -17.6184 28.2183 -29.9340 18.6683
     156      18.5604 -28.7658 29.1297 -18.8334 0.0591
     157       8.2121 -22.6335 27.5552 -23.2440 9.8061
     158       6.6226 -23.7937 31.1161 -29.0957 14.4534
     159      12.3534 -32.0858 38.1909 -34.1117 14.1563
     160      22.2243 -26.2149 20.9145 -8.1044 -8.8596
     161      -2.4030 -16.4265 26.1367 -31.0874 20.9571
     162      27.0018 -35.3080 30.8360 -16.1123 -6.6010
     163      23.5758 -29.4811 22.7732 -10.2756 -8.4880
     164       4.9318 -14.9353 17.8847 -13.9216 5.9592
     165      14.6668 -25.8329 25.4537 -17.7649 2.3402
     166      15.6637 -26.9724 28.0087 -19.1736 2.6754
     167      -9.3710 -9.6036 22.8562 -27.9426 24.7342
     168      10.7275 -19.1189 19.9806 -13.3229 1.8899
     169      24.9675 -28.6211 20.4376 -5.8265 -13.2380
     170      20.6078 -29.8661 27.0999 -14.6048 -4.0940
     171      25.2777 -25.4602 15.7948 -1.8302 -14.9036
     172      13.0063 -23.3589 23.4436 -17.2884 2.6300
     173       2.9792 -25.8322 34.2476 -33.4528 20.5951
     174      21.9382 -23.5123 18.0032 -6.1940 -9.5665
     175      11.9015 -18.8964 16.7126 -9.8340 -1.3147
     176      32.6829 -32.1307 18.8021 1.0260 -22.6397
     177      22.1727 -27.8711 23.8335 -11.6997 -6.6902
     178      26.9324 -24.6433 14.5077 0.8949 -18.4300
     179       9.6285 -19.4159 22.1281 -16.3126 4.0398
     180      27.9508 -41.7507 37.0145 -18.2391 -5.8997
     181      33.1528 -41.0992 35.2661 -16.3338 -10.9015
     182      14.1036 -21.1032 19.1200 -12.1072 -1.4335
     183      26.3715 -27.9418 18.4719 -3.4927 -14.3596
     184      32.1212 -35.2681 25.5879 -6.5535 -16.7759
     185      28.9784 -22.8790 9.1541 7.6429 -23.5501
     186      16.6261 -26.8517 28.8015 -18.3592 1.3068
     187      29.0272 -26.1778 15.8237 0.9780 -19.7945
     188      30.6268 -24.1121 10.0013 7.6857 -24.5418
     189      12.5955 -24.2766 26.9745 -19.0896 3.9617
     190      12.5241 -16.7308 13.4899 -6.1601 -4.2245
     191       9.8654 -10.7413 6.3493 -0.7624 -5.5479
     192      22.3277 -26.3854 21.3819 -8.2026 -9.6103
     193      21.8313 -29.2939 25.4223 -13.0955 -6.1131
     194       1.2499 -8.4823 11.6790 -12.1806 6.6939
     195       6.7338 -17.3954 19.5534 -16.3333 6.4569
     196      11.1302 -24.7294 26.8420 -23.2239 7.7509
     197       0.7088 -9.2446 13.1455 -13.9419 8.4493
     198      14.7718 -26.0011 25.0325 -17.5178 2.4927
     199      10.8992 -20.6872 22.0886 -16.5346 3.8567
     200      12.1980 -25.5454 28.2650 -21.4114 5.9739
     201       0.2284 -19.3751 28.9672 -28.7989 18.3800
     202     -11.2955 -13.0164 28.7771 -36.9046 31.6574
     203       6.6140 -22.1030 29.0416 -25.7521 12.2312
     204      13.2883 -25.3282 26.1129 -19.7721 4.9637
     205      18.0184 -28.6971 27.7221 -17.8047 -0.1696
     206      12.1574 -26.3156 27.9218 -19.8881 5.4120
     207       9.9387 -18.0190 18.9889 -13.2128 2.0284
     208      24.3081 -13.4187 -0.2819 13.4162 -24.6585
     209      28.0516 -29.3324 18.9286 -1.1463 -17.9669
     210      26.0943 -24.6018 14.2468 -0.1587 -15.8212
     211      10.1881 1.6388 -12.2695 18.4385 -18.8336
