#Frame            all
      10       0.0000
      20       1.1266
      30       1.4680
      40       1.5273
      50       1.6046
      60       2.0857
      70       2.0252
      80       2.2142
      90       2.6778
     100       3.0402
     110       2.9302
     120       3.1712
     130       3.1344
     140       2.9047
     150       3.2112
     160       3.4820
     170       3.6337
     180       4.1915
     190       4.5984
     200       4.4734
     210       4.9025
     220       4.9113
     230       4.7886
     240       4.8061
     250       4.8680
     260       4.9372
     270       5.5076
     280       5.6986
     290       5.3985
     300       5.3036
     310       5.0231
     320       4.7806
     330       5.1992
     340       5.5928
     350       5.5305
     360       5.4906
     370       5.5367
     380       5.4914
     390       5.4632
     400       5.4055
     410       5.7166
     420       5.2984
     430       5.4433
     440       5.5466
     450       5.2759
     460       5.7445
     470       5.8987
     480       5.5752
     490       5.6139
     500       5.4825
     510       5.9722
     520       6.1615
     530       6.0995
     540       6.5104
     550       6.3706
     560       6.7122
     570       6.5047
     580       6.4566
     590       6.5808
     600       6.1735
     610       6.4370
     620       6.8053
     630       6.3971
     640       5.9324
     650       6.0032
     660       5.7963
     670       5.5386
     680       5.3198
     690       5.2073
     700       5.3350
     710       5.6431
     720       5.9018
     730       5.7281
     740       5.8705
     750       6.0428
     760       5.8480
     770       6.1710
     780       6.2523
     790       6.4232
     800       6.1108
     810       6.4695
     820       6.4466
     830       6.5288
     840       6.5589
     850       6.2688
     860       6.1021
     870       5.4837
     880       5.5854
     890       5.3073
     900       5.6218
     910       5.6222
     920       5.6890
     930       4.9537
     940       5.0083
     950       4.7224
     960       4.7453
     970       4.8253
     980       5.1733
     990       5.0237
    1000       5.3696
    1010       5.2990
    1020       4.9817
    1030       5.4475
    1040       5.3903
    1050       5.1880
    1060       5.1911
    1070       4.9842
    1080       5.5079
    1090       5.7495
    1100       5.8171
    1110       6.2325
    1120       6.2596
    1130       5.9014
    1140       5.9236
    1150       5.9632
    1160       6.1127
    1170       5.8965
    1180       5.9075
    1190       6.0597
    1200       6.2117
    1210       6.3237
    1220       6.4977
    1230       6.4652
    1240       6.3659
    1250       6.4172
    1260       6.6575
    1270       6.1899
