#Frame            all
      10       0.0000
      20       1.1657
      30       1.4720
      40       2.1746
      50       2.3411
      60       2.4030
      70       2.8479
      80       3.2389
      90       3.3836
     100       3.9728
     110       4.0323
     120       3.9638
     130       4.2915
     140       3.8279
     150       4.2548
     160       4.4593
     170       4.6283
     180       4.6595
     190       4.7159
     200       4.8833
     210       5.0695
     220       5.2259
     230       5.1550
     240       5.0041
     250       4.8750
     260       5.0332
     270       5.2910
     280       5.4105
     290       5.7257
     300       5.3848
     310       5.1732
     320       4.9271
     330       5.0947
     340       4.7581
     350       4.7822
     360       4.8790
     370       5.0091
     380       5.0849
     390       4.7693
     400       4.7072
     410       4.6211
     420       4.5148
     430       4.4578
     440       4.4179
     450       4.5350
     460       4.7360
     470       4.5496
     480       4.6456
     490       4.9604
     500       5.0898
     510       5.1501
     520       4.9362
     530       4.7940
     540       4.7806
     550       4.7627
     560       4.9911
     570       4.7955
     580       4.9689
     590       4.9389
     600       4.8716
     610       5.0104
     620       5.1369
     630       5.1411
     640       4.8644
     650       4.9155
     660       5.1346
     670       5.2314
     680       4.8672
     690       5.0246
     700       4.8574
     710       4.6833
     720       4.8185
     730       5.2638
     740       4.8562
     750       4.9785
     760       5.1690
     770       5.6754
     780       5.4078
     790       6.0126
     800       5.8668
     810       5.9660
     820       5.6208
     830       5.2906
     840       5.2533
     850       5.5385
     860       5.3807
     870       6.0410
     880       5.6770
     890       5.6918
     900       5.7545
     910       5.7527
     920       5.4089
     930       5.2683
     940       5.3669
     950       4.9780
     960       4.6912
     970       4.8427
     980       4.8056
     990       4.8898
    1000       4.7119
    1010       4.7634
    1020       4.7620
    1030       5.0772
    1040       4.9803
    1050       4.8187
    1060       4.6562
    1070       4.8586
    1080       4.6848
    1090       4.9024
    1100       4.9958
    1110       4.8802
    1120       4.7748
    1130       4.8039
    1140       4.9018
    1150       4.9279
    1160       4.9272
    1170       5.1546
    1180       5.3343
    1190       4.7886
    1200       4.8269
    1210       4.5475
    1220       4.8194
    1230       5.1163
    1240       5.5477
    1250       5.1595
    1260       5.2384
    1270       5.2465
    1280       4.9082
    1290       5.2432
    1300       5.1681
    1310       4.9764
    1320       4.8209
    1330       4.8737
    1340       5.3650
    1350       5.2945
    1360       5.3850
    1370       5.5054
    1380       5.0548
    1390       4.9048
    1400       4.2682
    1410       4.3957
    1420       4.4792
    1430       4.6957
    1440       4.9220
    1450       4.6722
    1460       4.7032
    1470       4.5548
    1480       4.8558
    1490       4.8927
    1500       4.7805
    1510       4.9526
    1520       5.3177
    1530       5.0494
    1540       5.4633
    1550       5.3889
    1560       5.5817
    1570       6.1350
    1580       6.2588
    1590       6.0193
    1600       6.0094
    1610       6.0124
    1620       5.8899
    1630       5.5447
    1640       5.5332
    1650       4.9040
    1660       4.8737
    1670       4.9672
    1680       4.8601
    1690       5.0156
    1700       4.9742
    1710       5.1069
    1720       5.4130
    1730       5.6207
    1740       5.8472
    1750       6.0218
    1760       5.7042
    1770       5.1606
    1780       5.1215
    1790       5.0790
    1800       4.9946
    1810       4.9963
    1820       5.2691
    1830       4.5827
    1840       4.5394
    1850       4.6530
    1860       4.9637
    1870       4.5730
    1880       4.4317
    1890       4.7147
    1900       5.0029
    1910       5.4786
    1920       5.2154
    1930       5.4302
    1940       5.4828
    1950       5.3207
    1960       5.2733
    1970       4.8619
    1980       4.8583
    1990       5.3923
    2000       5.5903
    2010       5.9736
    2020       5.5517
    2030       5.5766
    2040       5.5337
    2050       5.4410
    2060       5.6699
    2070       5.8556
    2080       5.8547
    2090       6.0558
    2100       6.0696
    2110       6.0598
    2120       6.1866
    2130       5.7917
    2140       5.5297
    2150       5.3683
    2160       5.2792
    2170       5.3558
    2180       5.7996
    2190       5.8815
    2200       5.8151
    2210       4.9718
    2220       5.4536
    2230       5.5515
    2240       5.4169
    2250       6.2043
    2260       5.5617
    2270       5.8379
    2280       6.1226
    2290       6.3956
