#Frame            all
      10       0.0000
      20       1.0654
      30       1.4727
      40       1.5820
      50       1.8956
      60       1.8545
      70       2.0364
      80       2.6706
      90       2.2485
     100       2.4950
     110       2.7096
     120       2.6404
     130       2.7728
     140       3.1425
     150       2.4976
     160       2.7584
     170       2.8055
     180       3.0665
     190       3.1243
     200       3.0647
     210       3.3939
     220       3.6781
     230       3.2233
     240       3.0779
     250       3.3064
     260       3.5361
     270       3.8649
     280       3.7984
     290       3.7268
     300       4.0154
     310       3.8667
     320       3.5063
     330       3.4588
     340       3.5079
     350       3.3745
     360       3.3964
     370       3.8054
     380       3.9223
     390       3.6797
     400       3.7412
     410       3.8231
     420       3.9020
     430       4.2369
     440       4.4641
     450       4.5720
     460       4.7084
     470       4.7189
     480       5.0031
     490       4.8246
     500       5.1128
     510       4.9976
     520       4.5521
     530       4.4227
     540       4.2007
     550       4.3681
     560       4.1981
     570       4.3886
     580       4.5599
     590       4.5821
     600       5.0157
     610       4.7942
     620       4.6850
     630       5.0419
     640       4.7207
     650       4.9308
     660       4.6372
     670       5.1343
     680       4.7957
     690       4.9663
     700       5.4878
     710       5.4845
     720       6.0603
     730       6.2350
     740       6.5884
     750       5.8912
     760       5.4531
     770       5.8553
     780       5.5929
     790       5.2963
     800       4.9269
     810       5.2126
     820       5.0900
     830       5.1150
     840       5.0065
     850       4.7013
     860       4.8468
     870       5.0638
     880       5.2879
     890       5.4161
     900       5.1520
     910       5.8035
     920       5.3081
     930       5.3222
     940       5.6931
     950       5.9726
     960       5.9159
     970       5.4588
     980       5.1776
     990       5.7176
    1000       5.3815
    1010       5.1724
    1020       5.7044
    1030       5.3957
    1040       5.4068
    1050       5.7083
    1060       5.7892
    1070       5.8667
    1080       5.7669
    1090       5.3847
    1100       5.2840
    1110       5.8201
    1120       6.2638
    1130       6.2775
    1140       6.1867
    1150       6.0167
    1160       6.0385
    1170       6.2775
    1180       5.9638
    1190       6.3150
    1200       5.9484
    1210       6.3866
    1220       6.4921
    1230       6.3333
    1240       6.1273
    1250       6.2585
    1260       6.2485
    1270       6.3495
    1280       6.0066
    1290       5.8576
    1300       6.1696
    1310       6.5497
    1320       6.3062
    1330       6.2508
    1340       6.2555
    1350       6.0949
    1360       6.6267
    1370       6.6219
    1380       6.0667
    1390       6.3800
    1400       6.1158
    1410       6.0910
    1420       5.9314
    1430       6.1804
    1440       6.0131
    1450       6.5463
    1460       6.7671
    1470       6.6793
    1480       6.7851
    1490       6.9059
    1500       6.8124
    1510       6.5900
    1520       6.8251
    1530       6.8266
    1540       6.7857
    1550       6.7552
    1560       6.1352
    1570       6.0843
    1580       6.3026
    1590       6.4960
    1600       6.0738
    1610       5.6985
    1620       5.4593
    1630       5.2392
    1640       5.3222
    1650       5.5254
    1660       5.9136
    1670       5.9993
    1680       5.6054
    1690       6.1395
    1700       6.0889
    1710       6.1173
    1720       6.3558
    1730       6.5389
    1740       5.7789
    1750       5.9261
    1760       6.3798
    1770       6.6978
    1780       6.3468
    1790       6.2418
    1800       6.2792
    1810       6.4755
    1820       6.4778
    1830       5.8338
    1840       6.0816
    1850       5.7646
    1860       6.0036
    1870       6.3626
    1880       6.0518
    1890       5.9663
    1900       5.8382
    1910       5.4306
    1920       5.4602
    1930       5.4289
    1940       5.3387
    1950       5.5002
    1960       5.7584
    1970       5.8025
    1980       6.0389
    1990       6.0167
    2000       6.0587
    2010       5.9984
    2020       6.9025
    2030       6.9873
    2040       6.6729
    2050       6.3845
    2060       5.9656
    2070       6.4805
    2080       6.4719
    2090       6.0172
    2100       5.8307
    2110       5.7205
    2120       5.8973
    2130       5.6127
    2140       6.1775
    2150       6.2537
    2160       6.1091
    2170       6.0751
    2180       6.1701
    2190       6.4430
    2200       5.8848
    2210       6.0472
    2220       6.2617
    2230       6.4147
    2240       6.4506
    2250       6.4671
    2260       6.1340
    2270       6.2917
    2280       6.2594
    2290       5.8901
    2300       6.1232
    2310       6.2246
    2320       6.1757
    2330       6.4332
    2340       6.1507
    2350       6.1872
    2360       5.6893
    2370       5.7641
    2380       5.7968
    2390       5.6801
    2400       6.3587
    2410       6.2332
    2420       5.9629
    2430       6.1496
    2440       6.1349
    2450       5.7156
    2460       6.0812
    2470       5.8273
    2480       6.2486
    2490       5.8602
    2500       5.3742
    2510       5.6400
    2520       5.5872
    2530       5.2277
    2540       5.3258
    2550       5.7890
    2560       5.9609
    2570       6.0926
    2580       5.9903
    2590       6.0577
    2600       5.9085
    2610       5.8642
    2620       6.1218
    2630       6.3494
    2640       6.0919
    2650       6.5212
    2660       6.8028
    2670       6.5798
    2680       6.8237
    2690       6.3158
    2700       6.3168
    2710       6.2317
    2720       6.1027
    2730       6.2729
    2740       6.3899
    2750       6.3867
    2760       6.8486
    2770       6.9941
    2780       7.0152
    2790       7.2328
    2800       7.1898
    2810       7.3860
    2820       7.0579
    2830       7.4260
    2840       7.0945
    2850       6.9673
    2860       7.1721
    2870       6.8225
    2880       6.7649
    2890       7.6572
    2900       6.9411
    2910       6.7659
    2920       6.3634
    2930       6.3329
    2940       6.6225
    2950       6.4997
    2960       6.1720
    2970       5.6324
    2980       5.6940
    2990       5.7861
    3000       6.0052
    3010       6.2084
    3020       6.2218
    3030       6.4124
    3040       6.5048
    3050       6.3570
    3060       6.3418
    3070       6.7240
    3080       6.8791
    3090       7.2879
    3100       7.5241
    3110       6.9259
    3120       6.5643
    3130       6.6557
    3140       6.9441
    3150       6.6277
    3160       6.8959
    3170       6.8515
    3180       6.8105
    3190       6.7875
    3200       7.0746
    3210       7.5473
    3220       7.4067
    3230       7.2594
    3240       7.3939
    3250       7.6718
    3260       7.6343
    3270       6.8451
    3280       6.7553
    3290       6.8233
    3300       6.8398
    3310       7.6088
    3320       7.5490
    3330       7.3283
    3340       7.1217
    3350       7.5157
    3360       7.5308
    3370       8.3016
    3380       8.0271
    3390       8.0189
    3400       7.7765
    3410       7.7192
    3420       8.1074
    3430       7.7553
    3440       8.1401
    3450       8.2501
    3460       8.3417
    3470       7.8550
    3480       8.6325
    3490       8.2434
    3500       8.6659
    3510       8.7410
    3520       8.7205
    3530       8.0981
    3540       7.6348
    3550       8.2111
    3560       8.2389
    3570       8.1151
    3580       8.1959
    3590       7.6867
    3600       7.6838
    3610       7.3196
    3620       7.9620
    3630       8.2861
    3640       8.1233
    3650       8.3047
    3660       8.6689
    3670       8.7440
    3680       9.0624
    3690       8.5831
    3700       8.5922
    3710       8.9145
    3720       8.1106
    3730       8.5366
    3740       8.7466
    3750       8.5507
    3760       8.2627
    3770       8.4947
    3780       8.2778
    3790       8.0398
    3800       8.2272
    3810       7.7853
    3820       7.7839
    3830       8.2986
    3840       8.1538
    3850       8.4647
    3860       8.6130
    3870       8.6832
    3880       8.7251
    3890       8.4887
    3900       8.4922
    3910       8.7502
    3920       8.7593
    3930       8.8610
    3940       8.0905
    3950       8.0326
    3960       8.2231
    3970       8.2338
    3980       8.0104
    3990       8.3999
    4000       8.4744
    4010       8.1637
    4020       7.2041
    4030       7.7064
    4040       7.7922
    4050       7.4877
    4060       7.8842
    4070       7.9494
    4080       7.8148
    4090       8.0685
    4100       7.8721
    4110       8.0393
    4120       8.6169
    4130       8.8616
    4140       8.6029
    4150       8.3374
    4160       8.2645
    4170       7.9870
    4180       7.5540
    4190       8.0238
    4200       7.7957
    4210       7.9063
    4220       7.9106
    4230       7.6952
    4240       7.9961
    4250       7.3585
    4260       7.4813
    4270       7.2013
    4280       7.7735
    4290       7.7574
    4300       8.1747
    4310       8.1952
    4320       8.2465
    4330       8.1586
    4340       8.5058
    4350       8.7388
    4360       8.5751
    4370       8.4375
    4380       8.1134
    4390       8.4072
    4400       9.1950
    4410       8.5253
    4420       8.4544
    4430       8.0558
    4440       8.2004
    4450       8.6813
    4460       8.8022
    4470       8.3062
    4480       7.9847
    4490       7.6732
    4500       7.4161
    4510       7.7652
    4520       7.9069
    4530       7.7969
    4540       8.1569
    4550       7.9615
    4560       7.7500
    4570       7.4901
    4580       7.5406
    4590       7.5546
    4600       7.7433
    4610       7.6870
    4620       7.8958
    4630       7.7510
