#Frame            all
      10       0.0000
      20       1.0466
      30       1.3035
      40       1.6953
      50       1.7475
      60       1.7801
      70       1.7692
      80       1.6065
      90       1.3776
     100       1.5826
     110       1.7922
     120       1.9166
     130       1.7864
     140       1.8601
     150       2.0996
     160       2.3038
     170       2.4333
     180       2.6971
     190       2.9091
     200       2.7939
     210       3.0625
     220       3.1271
     230       3.0824
     240       2.9562
     250       3.3248
     260       3.4677
     270       3.4390
     280       3.2921
     290       3.3689
     300       3.4016
     310       3.5349
     320       3.6221
     330       3.5062
     340       3.6834
     350       3.3769
     360       3.1441
     370       3.3311
     380       3.1958
     390       3.2344
     400       3.3492
     410       3.4689
     420       3.5626
     430       3.5494
     440       3.6140
     450       3.6576
     460       3.5940
     470       3.5445
     480       3.7344
     490       4.2372
     500       4.3216
     510       4.6075
     520       4.4386
     530       4.8015
     540       4.7266
     550       4.3482
     560       4.3945
     570       4.7794
     580       4.5889
     590       4.7417
     600       4.8977
     610       4.8104
     620       5.3675
     630       4.9635
     640       4.4890
     650       4.8308
     660       4.6787
     670       4.5155
     680       4.5559
     690       4.5982
     700       4.8888
     710       4.7778
     720       4.8709
     730       4.6952
     740       4.3644
     750       4.6317
     760       4.7666
     770       4.5738
     780       4.6517
     790       4.8938
     800       4.6071
     810       4.3144
     820       4.8222
     830       4.7362
     840       4.3340
     850       4.4980
     860       4.2119
     870       4.3465
     880       4.2142
     890       4.2080
     900       4.4076
     910       4.8169
     920       5.0070
     930       5.3581
     940       5.1620
     950       5.1572
     960       5.5170
     970       5.5274
     980       5.3286
     990       5.3762
    1000       4.9993
    1010       5.2620
    1020       5.4413
    1030       5.3935
    1040       5.4578
    1050       5.1241
    1060       5.0829
    1070       5.4812
    1080       5.2054
    1090       5.4041
    1100       5.7628
    1110       5.8126
    1120       5.6512
    1130       5.6303
    1140       5.7052
    1150       5.9145
    1160       5.4741
    1170       5.6496
    1180       5.4482
    1190       5.4642
    1200       5.6498
    1210       6.0765
    1220       6.4791
    1230       6.2382
    1240       6.1658
    1250       5.9765
    1260       5.7460
    1270       5.7971
    1280       6.0695
    1290       5.9173
    1300       5.6517
    1310       5.5838
    1320       5.3859
    1330       5.0635
    1340       5.1559
    1350       5.3604
    1360       5.4047
    1370       4.8849
    1380       4.7361
    1390       4.8930
    1400       4.9674
    1410       4.7051
    1420       4.9273
