#Frame            all
      10       0.0000
      20       1.0201
      30       1.7051
      40       1.5138
      50       1.8180
      60       2.0960
      70       2.1044
      80       2.4684
      90       2.4886
     100       2.5930
     110       2.6547
     120       2.6513
     130       3.1466
     140       2.9675
     150       2.9089
     160       3.0333
     170       3.4234
     180       3.6675
     190       3.5700
     200       3.6931
     210       3.7859
     220       4.1673
     230       4.0740
     240       4.3578
     250       4.3239
     260       4.4626
     270       4.4804
     280       4.2540
     290       4.0512
     300       4.1016
     310       4.2127
     320       4.7271
     330       4.3070
     340       4.5890
     350       4.0939
     360       3.9748
     370       3.8892
     380       4.3915
     390       4.1365
     400       3.9362
     410       4.0807
     420       4.1886
     430       4.4435
     440       4.7791
     450       5.2931
     460       5.3118
     470       4.9420
     480       4.8009
     490       4.7832
     500       4.4329
     510       4.6096
     520       5.0275
     530       5.1279
     540       5.3210
     550       5.1322
     560       5.1468
     570       5.4129
     580       5.4439
     590       5.5573
     600       5.9122
     610       5.8421
     620       6.5790
     630       6.7815
     640       6.0950
     650       6.1783
     660       6.4114
     670       6.3567
     680       5.9012
     690       5.8075
     700       5.8808
     710       5.4848
     720       5.3867
     730       5.0994
     740       4.9118
     750       4.8366
     760       5.0847
     770       4.9391
     780       5.0988
     790       5.7634
     800       5.9891
     810       5.5405
     820       5.7637
     830       5.4920
     840       5.1073
     850       4.9024
     860       4.6404
     870       4.6176
     880       5.2242
     890       5.0704
     900       5.1821
     910       5.5745
     920       5.9787
     930       5.7918
     940       5.8385
     950       6.0207
     960       5.6155
     970       5.5979
     980       5.2090
     990       4.7340
    1000       5.1067
    1010       5.1533
    1020       4.6861
    1030       4.5639
    1040       4.7737
    1050       5.1082
    1060       5.5434
    1070       5.8302
    1080       5.5358
    1090       5.7963
    1100       6.3167
    1110       6.1505
    1120       6.0171
    1130       6.3373
    1140       6.9507
    1150       6.3208
    1160       5.9783
    1170       5.7362
    1180       6.0953
    1190       6.2963
    1200       6.1773
    1210       5.4725
    1220       5.7134
    1230       6.1028
    1240       6.1718
    1250       6.2042
    1260       6.2481
    1270       5.8679
    1280       5.6581
    1290       5.5181
    1300       5.9728
    1310       5.6039
    1320       5.0847
    1330       5.3111
    1340       5.3773
    1350       5.9038
    1360       6.1050
    1370       5.6128
    1380       5.8453
    1390       5.8722
    1400       5.2947
    1410       5.8869
    1420       5.4556
    1430       5.9875
    1440       6.0700
    1450       6.3877
    1460       6.3130
    1470       6.2377
    1480       6.1931
    1490       6.0696
    1500       6.0661
    1510       6.8741
    1520       6.7256
    1530       6.4655
    1540       6.4397
    1550       6.2775
    1560       6.1550
    1570       6.0542
    1580       6.1905
    1590       5.6675
    1600       5.5382
    1610       5.4074
    1620       5.6455
    1630       5.8881
    1640       5.3126
    1650       5.1876
    1660       5.2477
    1670       5.1284
    1680       5.1861
    1690       5.4854
    1700       5.3495
    1710       5.1228
    1720       5.2668
    1730       4.8268
    1740       5.0614
    1750       5.4374
    1760       5.1293
    1770       4.9050
    1780       5.0797
    1790       4.4319
    1800       4.2512
    1810       4.4073
    1820       4.1894
    1830       4.4191
    1840       4.0616
    1850       4.4702
    1860       4.7051
    1870       4.5830
    1880       4.5798
    1890       4.4671
    1900       4.4031
    1910       4.6511
    1920       4.6855
    1930       5.3887
    1940       5.6311
    1950       5.6782
    1960       5.7854
    1970       5.2123
    1980       5.2721
    1990       5.0905
    2000       5.5360
    2010       5.4922
    2020       5.3950
    2030       5.4418
    2040       5.9616
    2050       5.3141
    2060       5.6363
    2070       5.5621
    2080       5.9051
    2090       5.4784
    2100       5.6121
    2110       5.0005
    2120       5.5024
    2130       5.2337
    2140       5.4934
    2150       5.4819
    2160       5.3798
    2170       5.2004
    2180       5.1016
    2190       5.0869
    2200       5.5117
    2210       5.3369
    2220       5.0868
    2230       5.0436
    2240       5.3823
    2250       5.3614
    2260       5.5575
    2270       5.0745
    2280       5.3723
    2290       5.3019
    2300       5.4529
    2310       5.2629
    2320       5.5496
    2330       4.9953
    2340       5.0157
    2350       4.8514
    2360       4.5363
    2370       4.8585
    2380       4.7887
    2390       4.7061
    2400       4.8322
    2410       4.5590
    2420       4.5211
    2430       4.7790
    2440       4.6914
    2450       4.6563
    2460       4.7191
    2470       4.3697
    2480       4.7514
    2490       4.7140
    2500       4.6972
    2510       5.4481
    2520       5.5064
    2530       4.9595
    2540       4.8364
    2550       4.8069
    2560       4.5048
    2570       4.1291
    2580       4.2963
    2590       4.5941
    2600       5.2278
    2610       5.0275
    2620       5.0766
    2630       5.5398
    2640       6.0412
