#Frame            all
      10       0.0000
      20       1.1628
      30       1.4172
      40       1.7649
      50       1.6966
      60       1.8200
      70       1.9964
      80       2.1851
      90       2.4909
     100       2.5372
     110       2.3144
     120       2.6332
     130       2.3429
     140       1.8881
     150       1.7675
     160       1.7995
     170       2.0149
     180       1.9684
     190       1.9515
     200       1.7931
     210       2.3981
     220       2.5253
     230       2.8052
     240       2.6363
     250       2.5421
     260       2.5933
     270       2.6143
     280       2.6887
     290       2.6393
     300       2.7522
     310       2.8804
     320       2.6318
     330       2.9145
     340       2.7180
     350       2.9151
     360       3.1785
     370       4.0072
     380       4.6568
     390       4.0020
     400       3.4532
     410       3.6625
     420       3.6341
     430       3.2470
     440       3.3455
     450       2.8326
     460       3.0242
     470       3.4546
     480       3.5632
     490       3.3761
     500       3.4732
     510       3.1204
     520       3.0320
     530       3.5373
     540       3.3861
     550       3.4634
     560       3.4368
     570       3.5977
     580       3.3948
     590       3.3334
     600       2.9606
     610       2.8712
     620       2.7374
     630       2.8989
     640       2.7568
     650       3.0733
     660       3.2507
     670       2.5845
     680       2.4747
     690       2.5104
     700       2.2275
     710       2.3956
     720       2.4535
     730       2.2524
     740       2.1549
     750       2.0683
     760       2.5402
     770       2.6716
     780       2.5869
     790       2.6213
     800       2.8340
     810       2.9573
     820       2.5194
     830       2.6161
     840       2.5031
     850       2.4531
     860       2.8713
     870       2.9046
     880       2.5143
     890       2.1290
     900       2.7738
     910       2.6965
     920       3.1689
     930       3.2428
     940       3.3577
     950       3.4539
     960       3.2544
     970       3.2251
     980       3.4371
     990       4.0699
    1000       3.9459
    1010       3.8823
    1020       3.4792
    1030       3.5220
    1040       3.2420
    1050       3.5734
    1060       4.0077
    1070       3.3090
    1080       3.5137
    1090       3.3996
    1100       3.3128
    1110       3.3196
    1120       3.1762
    1130       3.0589
    1140       3.0996
    1150       2.9653
    1160       3.3004
    1170       3.9596
    1180       3.2799
    1190       3.3733
    1200       3.1002
    1210       3.1737
    1220       3.4775
    1230       3.5488
    1240       3.2426
    1250       3.3989
    1260       3.2900
    1270       3.7920
    1280       3.5723
    1290       3.5183
    1300       3.1080
    1310       2.6971
    1320       3.7429
    1330       3.4621
    1340       3.5152
    1350       3.5379
    1360       3.4368
    1370       3.3676
    1380       3.0708
    1390       2.8824
    1400       2.7051
    1410       3.0911
    1420       3.3460
    1430       2.7241
    1440       2.7876
    1450       2.8474
    1460       2.8928
    1470       2.8648
    1480       2.4358
    1490       2.2057
    1500       2.0834
    1510       1.9776
    1520       2.3885
    1530       2.1663
    1540       2.0335
    1550       2.2029
    1560       2.4560
    1570       2.3807
    1580       2.2782
    1590       2.6161
    1600       2.5206
    1610       2.1758
    1620       2.4535
    1630       2.4282
    1640       2.3138
    1650       2.4564
    1660       2.3150
    1670       2.4172
    1680       2.4534
    1690       2.4992
    1700       2.6734
    1710       3.1619
    1720       2.9726
    1730       2.2785
    1740       2.4508
    1750       2.2143
    1760       2.2729
    1770       2.0991
    1780       2.1167
    1790       1.9482
    1800       2.4156
    1810       2.3184
    1820       2.4104
    1830       2.3973
    1840       2.7197
    1850       2.8135
    1860       2.9353
    1870       2.7198
    1880       2.7637
    1890       2.9594
    1900       3.1985
    1910       3.2290
    1920       3.3465
    1930       3.3802
    1940       2.9779
    1950       2.9619
    1960       3.4419
    1970       3.6437
    1980       3.1301
    1990       3.4825
    2000       3.5285
    2010       3.3388
    2020       3.5332
    2030       3.3965
    2040       3.1077
    2050       3.6444
    2060       3.7266
    2070       3.8680
    2080       3.8788
    2090       3.4397
    2100       3.4075
    2110       2.7917
    2120       3.0927
    2130       3.6064
    2140       3.3264
    2150       3.5554
    2160       4.2179
    2170       4.0279
    2180       3.7187
    2190       3.7563
    2200       3.6822
    2210       3.7475
    2220       3.7777
    2230       3.8841
    2240       3.9050
    2250       4.1704
    2260       3.6215
    2270       3.5321
    2280       4.0958
    2290       4.1269
    2300       3.7417
    2310       4.1611
    2320       4.4053
    2330       4.7250
    2340       4.0467
    2350       3.4380
    2360       3.5712
    2370       3.4221
    2380       3.8977
    2390       3.3710
    2400       3.7116
    2410       3.2591
    2420       3.2590
    2430       3.1418
    2440       3.0156
    2450       3.4566
    2460       3.5664
    2470       3.7068
    2480       3.5922
    2490       3.8303
    2500       3.8550
    2510       3.4491
    2520       3.5351
    2530       3.4009
    2540       3.3486
    2550       4.0690
    2560       3.9655
    2570       3.5038
    2580       3.2074
    2590       2.9847
    2600       3.2624
    2610       2.8692
    2620       2.9463
    2630       2.8582
    2640       2.9244
    2650       3.2143
    2660       3.1037
    2670       3.3522
    2680       3.4028
    2690       3.3357
    2700       3.6923
    2710       4.0176
    2720       3.7733
    2730       4.0213
    2740       3.9401
    2750       3.8508
    2760       3.7099
    2770       3.1035
    2780       3.2513
    2790       3.2017
    2800       3.6175
    2810       3.8939
    2820       3.6238
    2830       3.8755
    2840       3.9487
    2850       4.2935
    2860       4.2502
    2870       3.6480
    2880       3.4171
    2890       3.0105
    2900       2.9746
    2910       3.3500
    2920       2.9372
    2930       2.8279
    2940       3.2195
    2950       2.7599
    2960       2.9263
    2970       3.1770
    2980       3.4350
    2990       2.9928
    3000       2.9435
    3010       3.2242
    3020       3.2659
    3030       3.5960
    3040       3.3346
    3050       3.2672
    3060       3.0756
    3070       3.6862
    3080       3.8447
    3090       3.9748
    3100       3.5027
    3110       3.4692
    3120       3.9907
    3130       3.9960
    3140       4.3577
    3150       4.2292
    3160       4.0352
    3170       3.6687
    3180       3.1626
    3190       2.5924
    3200       2.8672
    3210       3.0311
    3220       2.9729
    3230       2.9448
    3240       2.9540
    3250       3.0578
    3260       2.8258
    3270       2.8663
    3280       2.8609
    3290       2.9863
    3300       2.4360
    3310       2.5695
    3320       2.4696
    3330       2.2309
    3340       2.2089
    3350       2.3572
    3360       2.4562
    3370       2.2532
    3380       2.4274
    3390       2.9346
    3400       2.4168
    3410       2.5023
    3420       2.4057
    3430       2.3903
    3440       2.7675
    3450       2.9486
    3460       3.1868
    3470       3.9462
    3480       3.5725
    3490       3.2846
    3500       3.1401
    3510       3.1821
    3520       3.0642
    3530       3.3156
    3540       3.4449
    3550       3.7648
    3560       3.3893
    3570       4.2740
    3580       4.5934
    3590       4.4160
    3600       4.1954
    3610       4.0728
    3620       4.8975
    3630       4.3157
    3640       4.6829
    3650       4.4989
    3660       4.7304
    3670       4.2486
    3680       3.9791
    3690       3.8665
    3700       4.2083
    3710       3.7894
    3720       3.7332
    3730       3.8893
    3740       3.9322
    3750       4.5910
    3760       5.1444
    3770       5.2085
    3780       5.3942
    3790       4.8143
    3800       4.9221
    3810       4.6239
    3820       4.3407
    3830       3.8326
    3840       4.2572
    3850       4.1756
    3860       4.1583
    3870       4.1495
    3880       3.7667
    3890       3.7768
    3900       4.1577
    3910       4.6446
    3920       4.2747
    3930       3.8638
    3940       4.2295
    3950       3.1965
    3960       3.0944
    3970       2.8982
    3980       2.5507
    3990       2.5439
    4000       2.5870
    4010       2.9527
    4020       2.9954
    4030       2.9229
    4040       3.5214
    4050       3.5917
    4060       3.1087
    4070       3.2771
    4080       3.0384
    4090       3.0646
    4100       2.9101
    4110       2.9791
    4120       3.1348
    4130       3.4134
    4140       2.8105
    4150       2.8831
    4160       2.7573
    4170       2.5781
    4180       2.7903
    4190       2.8096
    4200       2.6327
    4210       2.6255
    4220       2.9692
    4230       2.3346
    4240       2.1356
    4250       2.3007
    4260       2.6244
    4270       2.7059
    4280       2.4193
    4290       2.5365
    4300       2.2589
    4310       2.1602
    4320       2.2256
    4330       2.4586
    4340       2.4778
    4350       3.1205
    4360       3.0574
    4370       3.4103
    4380       3.6282
    4390       3.5495
    4400       3.9576
    4410       4.2725
    4420       3.7412
    4430       4.0167
    4440       4.1890
    4450       4.1821
    4460       4.0411
    4470       3.8968
    4480       3.8195
    4490       3.0970
    4500       3.2588
    4510       3.8239
    4520       3.6659
    4530       3.6234
    4540       3.3486
    4550       3.2113
    4560       3.3872
    4570       3.2185
    4580       3.7625
    4590       3.8864
    4600       3.5561
    4610       3.8203
    4620       3.5367
    4630       3.5899
    4640       3.5328
    4650       3.5245
    4660       3.3491
    4670       3.5759
    4680       3.4561
    4690       2.9534
    4700       3.3507
    4710       3.1515
    4720       2.4670
    4730       2.2962
    4740       2.2246
    4750       2.4263
    4760       2.7022
    4770       2.4521
    4780       2.9288
    4790       2.7631
    4800       3.0768
    4810       3.3481
    4820       3.7242
    4830       4.4011
    4840       4.2152
    4850       3.6953
    4860       3.4953
    4870       3.5186
    4880       3.7892
    4890       4.3318
    4900       4.4645
    4910       3.9586
    4920       4.2165
    4930       3.4086
    4940       3.4209
    4950       2.9461
    4960       2.7768
    4970       2.5764
    4980       2.8173
    4990       2.9111
    5000       2.8205
    5010       2.2729
    5020       2.6668
    5030       2.2128
    5040       2.2964
    5050       2.6365
    5060       3.2143
    5070       3.5050
    5080       2.9564
    5090       3.0099
    5100       2.8334
    5110       2.2609
    5120       1.9460
    5130       2.1889
    5140       2.3186
    5150       2.3165
    5160       2.8828
    5170       2.7923
    5180       2.7320
    5190       3.1187
    5200       3.0029
    5210       3.0396
    5220       3.0967
    5230       3.0604
    5240       2.8770
    5250       3.0616
    5260       3.5830
    5270       3.2629
    5280       2.9356
    5290       2.6098
    5300       2.3540
    5310       2.1816
    5320       2.5092
    5330       2.7843
    5340       2.5821
    5350       2.7061
    5360       2.7177
    5370       2.8876
    5380       2.7066
    5390       2.8998
    5400       3.0599
    5410       3.1505
    5420       2.7313
    5430       2.5977
    5440       2.6927
    5450       2.7427
    5460       2.8624
    5470       2.8735
    5480       2.8126
    5490       2.6304
    5500       2.5667
    5510       2.4891
    5520       2.3513
    5530       2.9882
    5540       2.6355
    5550       2.8641
    5560       3.1795
    5570       3.3034
    5580       3.9530
