#Frame      Dih_00036,#Frame      Dih_00037,#Frame      Dih_00038,#Frame      Dih_00039,#Frame      Dih_00040
       1      31.7829,       1     -33.2621,       1      18.8564,       1      -0.4704,       1     -19.9655
       2      35.3771,       2     -40.1399,       2      28.4256,       2      -8.9992,       2     -16.4003
       3      39.4695,       3     -42.2362,       3      28.2242,       3      -3.4129,       3     -22.9209
       4       9.1308,       4     -22.9042,       4      27.6526,       4     -22.8110,       4       8.2217
       5      17.9479,       5     -28.8219,       5      26.2148,       5     -17.3557,       5       0.3429
       6      -8.3004,       6      -8.2662,       6      18.5904,       6     -25.9013,       6      22.3438
       7      24.4871,       7     -32.7677,       7      26.1302,       7     -12.4639,       7      -7.8546
       8      32.3902,       8     -36.3473,       8      28.8875,       8     -13.1993,       8     -11.9289
       9      10.3989,       9     -22.7986,       9      22.9532,       9     -18.3795,       9       5.1004
      10      28.7997,      10     -29.2476,      10      18.9989,      10      -3.6355,      10     -16.2893
      11      44.5619,      11     -44.5964,      11      30.3030,      11      -6.9062,      11     -23.2295
      12      14.4267,      12     -22.2780,      12      22.5514,      12     -14.0753,      12      -0.4107
      13      14.3703,      13     -28.7988,      13      31.1592,      13     -22.9217,      13       5.7971
      14      10.0244,      14     -25.7853,      14      29.3168,      14     -24.6847,      14       9.1589
      15      36.5305,      15     -38.5475,      15      26.8442,      15      -7.2744,      15     -18.7884
      16      31.0282,      16     -39.5777,      16      30.7863,      16     -12.5833,      16     -12.0242
      17      37.4217,      17     -45.6147,      17      32.2261,      17     -11.2428,      17     -15.7992
      18      24.0383,      18     -34.3789,      18      31.0246,      18     -18.9529,      18      -3.4649
      19      29.5820,      19     -38.1532,      19      29.2975,      19     -14.6074,      19      -9.0152
      20      39.7704,      20     -39.8853,      20      25.0591,      20      -0.3472,      20     -26.0660
      21      46.4784,      21     -46.5244,      21      28.1037,      21      -1.1319,      21     -27.9129
      22      28.3772,      22     -26.9279,      22      15.8398,      22      -0.7879,      22     -17.1018
      23      24.5927,      23     -34.9126,      23      32.7740,      23     -21.3116,      23      -2.5335
      24      44.1822,      24     -48.7493,      24      37.3670,      24     -13.9499,      24     -18.6887
      25      20.7073,      25     -28.8205,      25      24.4597,      25     -13.3768,      25      -4.0847
      26      33.5308,      26     -31.4879,      26      17.7826,      26       0.8815,      26     -21.6159
      27      34.9319,      27     -35.0287,      27      21.0599,      27      -1.9697,      27     -21.2411
      28      12.2163,      28     -25.5558,      28      26.6191,      28     -20.9170,      28       5.1818
