#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
       1     -27.1323,       1      -0.4457,       1      26.9893,       1     -42.1530,       1      41.3158
       2      13.2242,       2     -32.9791,       2      38.7254,       2     -32.9953,       2      13.0102
       3       2.2602,       3     -26.5020,       3      37.1665,       3     -40.1892,       3      23.8773
       4       4.6894,       4     -27.6925,       4      37.6518,       4     -36.7181,       4      20.6020
       5      -1.4748,       5     -19.3519,       5      31.8722,       5     -35.3395,       5      22.8630
       6     -12.2273,       6     -20.5034,       6      41.4399,       6     -49.8673,       6      40.7518
       7       6.3918,       7     -25.8703,       7      34.4383,       7     -31.4465,       7      16.4409
       8      -6.9727,       8     -19.7402,       8      38.4413,       8     -42.3596,       8      32.0223
       9      -4.5037,       9     -24.6141,       9      41.8415,       9     -45.8257,       9      31.7466
      10       0.5147,      10     -22.9740,      10      34.5311,      10     -37.9393,      10      22.9869
      11      -3.0050,      11     -22.4905,      11      38.1702,      11     -39.8987,      11      26.5235
      12     -13.7726,      12      -9.4210,      12      25.7603,      12     -34.9207,      12      31.7862
      13      -6.6632,      13     -17.3382,      13      31.6408,      13     -38.0939,      13      29.6767
      14      -8.3205,      14     -19.2260,      14      37.1416,      14     -43.3058,      14      33.0973
      15     -27.0134,      15      -1.7520,      15      27.3460,      15     -40.7613,      15      43.4062
      16       0.0582,      16     -21.7823,      16      31.7629,      16     -34.8764,      16      23.2456
      17      -5.6196,      17     -17.6685,      17      31.1968,      17     -35.3509,      17      26.9224
      18      -6.7679,      18      -5.8646,      18      14.8727,      18     -19.0783,      18      16.4378
      19     -13.7082,      19     -12.2470,      19      30.3455,      19     -40.5831,      19      35.1294
      20     -10.4101,      20     -15.0249,      20      33.2457,      20     -41.0234,      20      32.5804
      21     -10.8841,      21     -15.0017,      21      34.8785,      21     -40.9563,      21      31.9898
      22     -19.6227,      22      -2.6665,      22      21.9490,      22     -33.2343,      22      35.1562
      23      -3.3678,      23     -23.5567,      23      37.9192,      23     -42.2612,      23      29.4768
      24      -0.5908,      24     -17.9272,      24      29.6330,      24     -31.2415,      24      20.3062
      25       1.1843,      25     -26.6036,      25      41.2184,      25     -43.0521,      25      26.4718
      26      -4.0812,      26     -20.9893,      26      34.1848,      26     -39.5705,      26      27.4075
      27       1.3404,      27     -17.5794,      27      23.8322,      27     -24.5203,      27      14.7237
      28      -8.1686,      28     -13.4698,      28      26.4982,      28     -32.7029,      28      28.2389
      29      -3.3559,      29     -18.8745,      29      30.9116,      29     -35.8052,      29      24.3862
      30      -3.5128,      30     -19.1096,      30      33.2170,      30     -36.5103,      30      25.3255
      31      -1.9650,      31     -23.5069,      31      38.5755,      31     -42.7449,      31      28.3636
      32      -4.9063,      32     -18.3310,      32      31.1372,      32     -36.1144,      32      25.9794
      33      -4.6635,      33     -22.2069,      33      37.3473,      33     -41.3588,      33      29.4987
      34      -9.9117,      34     -21.1601,      34      42.6137,      34     -48.6139,      34      37.0755
      35      -3.6157,      35     -28.1845,      35      46.3781,      35     -50.3010,      35      34.6536
      36      -7.7888,      36     -20.5553,      36      36.4365,      36     -43.4168,      36      32.3846
      37      -3.1227,      37     -17.5708,      37      28.5246,      37     -31.3738,      37      23.6826
      38      -7.3156,      38     -19.3816,      38      34.4508,      38     -41.5667,      38      31.7490
      39      -0.5985,      39     -19.3617,      39      29.2981,      39     -31.3863,      39      20.2343
      40      -4.8359,      40     -14.2169,      40      26.0158,      40     -30.1150,      40      22.4425
      41      -3.7683,      41     -10.2093,      41      18.3562,      41     -23.2343,      41      16.3912
      42      -0.9592,      42     -16.8370,      42      26.5333,      42     -28.5902,      42      18.4750
      43      -7.7912,      43     -13.6942,      43      27.9589,      43     -34.5513,      43      25.9995
      44       5.7712,      44     -28.5545,      44      38.7117,      44     -37.3042,      44      19.9616
      45      -1.7679,      45     -22.3742,      45      35.0403,      45     -38.7330,      45      26.1743
      46       0.9911,      46     -22.4124,      46      35.8744,      46     -35.1321,      46      21.3317
      47      -0.1125,      47     -21.8703,      47      34.7861,      47     -33.5715,      47      21.9196
      48     -12.4406,      48      -9.3807,      48      25.7207,      48     -34.4728,      48      29.4532
      49      -4.8850,      49     -14.4643,      49      26.9280,      49     -29.3975,      49      22.2494
      50     -10.1620,      50       0.6491,      50       8.1062,      50     -14.6190,      50      15.9102
      51      -2.7444,      51     -19.0244,      51      29.7467,      51     -34.9627,      51      22.8787
      52       0.9569,      52     -23.5840,      52      36.1011,      52     -36.5638,      52      22.7178
      53       8.0461,      53     -21.8730,      53      24.7727,      53     -20.9558,      53       8.8518
      54       5.8538,      54     -27.3496,      54      35.1805,      54     -34.2492,      54      17.6857
      55      13.8281,      55     -32.3964,      55      37.3589,      55     -29.9326,      55      10.8098
      56      -2.3428,      56     -24.1480,      56      38.6072,      56     -41.6821,      56      28.6853
      57      -8.4711,      57     -19.8265,      57      38.9204,      57     -46.0447,      57      35.4127
      58       4.5277,      58     -25.6378,      58      36.3409,      58     -32.8732,      58      18.4669
      59      -8.0167,      59     -15.8783,      59      30.9196,      59     -36.2613,      59      28.2527
      60     -15.2909,      60      -8.3934,      60      26.9390,      60     -36.8838,      60      32.9424
      61     -16.2483,      61     -13.6733,      61      35.6967,      61     -43.4257,      61      39.3301
      62     -20.0184,      62      -7.8164,      62      30.0056,      62     -42.1164,      62      42.9512
      63      -0.3686,      63     -18.5390,      63      28.6194,      63     -29.9124,      63      19.6944
      64       1.0937,      64     -25.9801,      64      36.9864,      64     -39.1522,      64      25.6944
      65     -10.0137,      65     -10.8400,      65      26.3017,      65     -33.9318,      65      28.1728
