#Frame            all
      10       0.0000
      20       1.2650
      30       2.0091
      40       2.2275
      50       1.9608
      60       1.9073
      70       2.4860
      80       2.4841
      90       2.9589
     100       2.8341
     110       3.1207
     120       2.6935
     130       2.5416
     140       2.4766
     150       2.6849
     160       2.5454
     170       2.4523
     180       2.6664
     190       2.4533
     200       2.2856
     210       2.1464
     220       2.4329
     230       2.5430
     240       2.3527
     250       2.2454
     260       2.5032
     270       2.4162
     280       2.0829
     290       2.1091
     300       2.2515
     310       2.3565
     320       2.3377
     330       2.4198
     340       2.1979
     350       2.2605
     360       2.0449
     370       1.9497
     380       2.1871
     390       1.9648
     400       1.7276
     410       2.1454
     420       2.2845
     430       2.3231
     440       2.3176
     450       2.3007
     460       2.0950
     470       2.1987
     480       2.3678
     490       2.5121
     500       2.8719
     510       2.7512
     520       3.2430
     530       3.6101
     540       3.9708
     550       3.6484
     560       3.4639
     570       3.3526
     580       3.2899
     590       3.2544
     600       3.4953
     610       3.1542
     620       2.7833
     630       2.6892
     640       2.4131
     650       2.0263
     660       2.4345
     670       2.8943
     680       3.0492
     690       3.0794
     700       3.0053
     710       2.8506
     720       2.8151
     730       3.0907
     740       3.2380
     750       2.8992
     760       2.9747
     770       2.7859
     780       2.6305
     790       2.6611
     800       2.1346
     810       2.2500
     820       1.8542
     830       1.9886
     840       2.1571
     850       2.2468
     860       2.2316
     870       2.3406
     880       2.1084
     890       2.1738
     900       1.9401
     910       2.1146
     920       2.2535
     930       2.6804
     940       2.6479
     950       2.4257
     960       2.9525
     970       2.5144
     980       2.6375
     990       2.3756
    1000       2.0234
    1010       2.1524
    1020       2.0929
    1030       2.0792
    1040       2.1207
    1050       2.2666
    1060       2.1630
    1070       2.3525
    1080       2.3920
    1090       2.0634
    1100       2.1321
    1110       2.6033
    1120       2.8681
    1130       2.5078
    1140       2.1252
    1150       2.5937
    1160       2.7960
    1170       2.2303
    1180       2.5735
    1190       2.6229
    1200       2.3886
    1210       2.1370
    1220       1.9103
    1230       1.8888
    1240       2.5101
    1250       2.5724
    1260       2.2338
    1270       2.0164
    1280       1.9975
    1290       2.1373
