#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
       1     -39.0290,       1      43.4720,       1     -32.0733,       1      11.4386,       1      16.7242
       2     -34.8060,       2      43.6304,       2     -37.6964,       2      18.9037,       2      10.5794
       3     -28.3132,       3       7.7419,       3      14.9531,       3     -32.0481,       3      39.5497
       4     -33.6844,       4      13.6374,       4       8.8711,       4     -27.8354,       4      42.2172
       5     -34.2642,       5      40.2869,       5     -30.3364,       5      11.3166,       5      14.7061
       6     -41.1979,       6      42.1863,       6     -26.2311,       6       2.0019,       6      26.6991
       7     -35.8679,       7      45.2952,       7     -31.1434,       7      10.8500,       7      15.1461
       8     -27.6281,       8       8.9509,       8      12.2381,       8     -31.5984,       8      36.5173
       9     -41.1335,       9      25.3136,       9       1.7995,       9     -31.3409,       9      48.2174
      10     -44.8835,      10      28.6228,      10      -3.0463,      10     -22.7798,      10      42.6439
      11     -41.9969,      11      25.5138,      11      -1.3772,      11     -22.1498,      11      38.1423
      12     -39.0294,      12      13.0636,      12      15.0595,      12     -38.1042,      12      48.4692
      13     -37.1318,      13      15.9202,      13      10.0816,      13     -31.6241,      13      44.0328
      14     -37.3066,      14      11.4090,      14      17.3015,      14     -38.7322,      14      47.5742
      15     -44.4904,      15      39.4104,      15     -18.0898,      15      -5.4530,      15      29.2766
      16     -43.4672,      16      25.4689,      16      -0.9470,      16     -24.2346,      16      40.9653
      17     -35.0652,      17      17.9349,      17       4.1811,      17     -25.2307,      17      38.3390
      18     -38.5735,      18      18.6777,      18       5.1740,      18     -28.6531,      18      42.9251
      19     -39.7805,      19      19.6873,      19       4.5514,      19     -28.1294,      19      44.3261
      20     -53.7388,      20      46.9261,      20     -24.4349,      20      -6.1948,      20      37.7701
      21     -39.2223,      21      32.6820,      21     -15.0617,      21      -7.0331,      21      29.4416
      22     -39.2633,      22      10.4250,      22      19.2936,      22     -43.8412,      22      53.6490
      23     -35.6969,      23      29.9512,      23     -10.6357,      23      -9.9789,      23      29.8935
      24     -36.4555,      24      12.8769,      24      13.1953,      24     -33.0203,      24      44.8171
      25     -40.7198,      25      16.8035,      25       9.6875,      25     -33.4982,      25      47.1729
      26     -47.8615,      26      28.0023,      26       0.5025,      26     -28.3509,      26      47.5847
      27     -25.9987,      27       9.5340,      27       9.1639,      27     -25.5602,      27      33.3771
      28     -32.1480,      28       9.1779,      28      15.2474,      28     -35.2835,      28      44.4579
      29     -27.4610,      29       7.8023,      29      11.8901,      29     -27.8484,      29      33.9563
      30     -21.0270,      30       6.6463,      30       8.3864,      30     -19.9446,      30      27.0376
      31     -32.8977,      31       9.5695,      31      15.3279,      31     -34.5032,      31      42.6049
      32     -43.5713,      32      19.6194,      32       8.8930,      32     -34.2077,      32      50.8614
      33     -33.3109,      33      20.9244,      33      -0.9234,      33     -18.7142,      33      32.2130
      34     -32.9356,      34      20.4887,      34      -0.6091,      34     -19.4213,      34      33.6614
      35     -34.2614,      35      29.7235,      35     -15.0114,      35      -4.7024,      35      24.1739
      36     -35.8641,      36      15.0763,      36       9.1764,      36     -30.0665,      36      42.5538
      37     -34.1044,      37      23.9969,      37      -5.3627,      37     -14.7602,      37      30.4157
