#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
       1       5.6614,       1     -30.0997,       1      41.3473,       1     -38.6801,       1      21.5801
       2      17.0690,       2     -39.1432,       2      43.5865,       2     -38.9442,       2      13.3723
       3      12.0622,       3     -31.2344,       3      38.1325,       3     -32.9813,       3      12.9736
       4       6.8652,       4     -21.3740,       4      28.5368,       4     -25.3162,       4      11.1522
       5      15.5158,       5     -37.1985,       5      43.0860,       5     -37.5110,       5      13.1232
       6       8.5850,       6     -20.1203,       6      22.8538,       6     -18.3287,       6       6.3478
       7       9.2427,       7     -24.2214,       7      29.2040,       7     -26.2346,       7      10.7713
       8      -2.7086,       8     -16.2178,       8      28.1000,       8     -30.4624,       8      20.7977
       9      11.8423,       9     -32.4979,       9      39.9453,       9     -36.2117,       9      13.7136
      10       9.0940,      10     -30.4588,      10      40.4130,      10     -34.8848,      10      17.2211
      11      10.9777,      11     -31.5649,      11      36.3872,      11     -31.6628,      11      13.6491
      12      12.3133,      12     -32.8442,      12      38.7644,      12     -35.5376,      12      15.5107
      13       8.8518,      13     -30.8510,      13      41.9767,      13     -36.5397,      13      17.4873
      14       9.1041,      14     -19.8630,      14      20.9803,      14     -16.4756,      14       5.5837
      15      -0.1247,      15     -22.7135,      15      34.6816,      15     -34.5341,      15      23.3450
      16      10.7931,      16     -32.4430,      16      39.3680,      16     -37.3963,      16      16.8248
      17       5.9592,      17     -27.2715,      17      37.7243,      17     -37.0081,      17      18.6756
      18      -2.7881,      18     -17.9853,      18      29.2295,      18     -31.0249,      18      22.5303
      19      14.9991,      19     -32.4175,      19      38.0192,      19     -31.0064,      19       9.2156
      20       9.7962,      20     -18.3615,      20      18.3505,      20     -14.7104,      20       2.9203
      21      -6.4313,      21     -13.7784,      21      27.5649,      21     -31.0287,      21      25.0985
      22       8.8280,      22     -28.3826,      22      32.6314,      22     -31.1037,      22      14.4508
      23      10.5597,      23     -33.9559,      23      42.1408,      23     -36.9637,      23      16.8690
      24      10.4269,      24     -23.9237,      24      27.5091,      24     -24.1365,      24       8.7218
      25      16.9044,      25     -34.8333,      25      40.1612,      25     -32.4780,      25      10.4378
      26      -0.0267,      26     -24.4780,      26      36.4084,      26     -37.2103,      26      25.1689
      27      -8.9644,      27     -19.1786,      27      37.9951,      27     -43.2824,      27      34.6528
      28       8.8110,      28     -30.9678,      28      36.5773,      28     -34.0719,      28      17.0958
      29      -6.8512,      29     -23.3868,      29      40.6638,      29     -46.4127,      29      34.2400
      30      -0.2155,      30     -21.8323,      30      36.2211,      30     -35.3266,      30      22.7559
      31       3.0375,      31     -26.6253,      31      38.5633,      31     -38.7309,      31      21.8846
      32      -9.6345,      32      -9.5032,      32      23.5439,      32     -29.2020,      32      25.1326
      33       2.2611,      33     -24.0029,      33      33.5619,      33     -33.4156,      33      19.6082
      34      15.0903,      34     -34.5871,      34      40.1104,      34     -33.4861,      34      12.2171
      35       9.3392,      35     -25.1968,      35      29.3082,      35     -24.9179,      35       9.4024
      36      -1.5526,      36     -24.4772,      36      38.8040,      36     -40.7088,      36      28.2739
      37       1.1665,      37     -24.7241,      37      34.2819,      37     -37.4938,      37      23.1927
      38       6.7716,      38     -28.3814,      38      37.0167,      38     -35.7171,      38      19.8933
      39      13.9688,      39     -36.6588,      39      41.4367,      39     -32.9386,      39      13.6493
      40       7.5371,      40     -32.4965,      40      44.3218,      40     -41.3864,      40      21.9596
      41     -22.3965,      41      -9.7029,      41      36.2797,      41     -47.7205,      41      45.3544
      42       1.9873,      42     -27.4128,      42      40.0419,      42     -39.5880,      42      24.2827
      43      -5.1011,      43     -18.2539,      43      31.9223,      43     -34.8900,      43      26.9527
      44      10.3160,      44     -33.8750,      44      41.6206,      44     -38.5182,      44      18.3697
      45       7.5502,      45     -30.5104,      45      40.7466,      45     -36.3931,      45      18.6151
      46       8.2655,      46     -27.3497,      46      34.7033,      46     -32.1510,      46      14.7912
      47       2.2526,      47     -26.7191,      47      39.9962,      47     -41.4502,      47      23.9152
      48      -1.3560,      48     -19.8718,      48      32.9939,      48     -33.5406,      48      22.6506
      49       2.3080,      49     -30.0728,      49      43.1470,      49     -44.0501,      49      27.2588
      50      -7.6841,      50     -19.9030,      50      38.7747,      50     -46.0151,      50      34.3367
      51     -10.5445,      51     -16.3957,      51      33.2765,      51     -39.2073,      51      32.6280
      52     -16.3831,      52      -7.6542,      52      27.0928,      52     -37.6760,      52      35.2476
      53      -3.6921,      53     -25.4524,      53      39.7996,      53     -43.3810,      53      31.2162
      54       7.7122,      54     -32.8973,      54      44.4820,      54     -40.9945,      54      21.3685
      55      -2.0241,      55     -22.9885,      55      38.4570,      55     -42.1993,      55      27.1218
      56      11.1134,      56     -30.7496,      56      35.4807,      56     -30.5382,      56      13.6512
      57       5.2244,      57     -27.6108,      57      36.1773,      57     -35.3899,      57      19.7692
      58      -2.1358,      58     -22.1938,      58      36.9459,      58     -38.9121,      58      25.6606
      59      -5.8212,      59     -22.1675,      59      38.5492,      59     -43.9522,      59      31.6164
      60      11.2243,      60     -28.0014,      60      32.7597,      60     -27.9600,      60      11.6177
      61      -4.9879,      61     -11.1823,      61      22.2803,      61     -26.4289,      61      19.4040
      62      -2.5175,      62     -15.3277,      62      25.4596,      62     -29.4296,      62      20.3835
      63       3.8376,      63     -21.8627,      63      30.5779,      63     -30.6975,      63      17.3216
      64      12.6445,      64     -30.7699,      64      34.3894,      64     -30.1980,      64      11.6752
      65      -3.6816,      65     -19.0581,      65      32.5594,      65     -36.6714,      65      25.5537
      66      -5.9112,      66     -18.5264,      66      33.9601,      66     -41.0996,      66      29.3699
      67      -0.8841,      67     -25.9758,      67      40.2063,      67     -42.6555,      67      26.9057
      68     -15.7608,      68     -11.4038,      68      32.8408,      68     -43.3775,      68      38.4428
      69      11.8657,      69     -33.4054,      69      44.6954,      69     -38.2018,      69      16.0162
      70      -1.9821,      70     -24.6734,      70      41.5310,      70     -44.5691,      70      29.4422
      71       9.3223,      71     -32.5280,      71      44.0993,      71     -41.5622,      71      20.5534
      72      19.7243,      72     -40.6045,      72      43.9783,      72     -36.6093,      72      10.6807
      73       4.2371,      73     -27.6069,      73      39.1074,      73     -39.5013,      73      21.7189
      74       5.6759,      74     -20.8709,      74      26.2327,      74     -25.0152,      74      12.7526
      75       8.2182,      75     -34.0586,      75      45.3025,      75     -38.7384,      75      21.4268
      76      -0.0703,      76     -23.4678,      76      35.5112,      76     -38.3967,      76      24.9341
      77      16.7956,      77     -37.1638,      77      40.7933,      77     -29.9379,      77       8.8881
      78      14.4937,      78     -34.4607,      78      42.0004,      78     -32.7636,      78      11.7704
      79      -1.7825,      79     -24.9618,      79      42.0412,      79     -44.2708,      79      29.3090
      80      10.4592,      80     -31.0708,      80      39.6322,      80     -36.4848,      80      16.0826
      81      -5.9480,      81     -25.1712,      81      42.6902,      81     -50.3587,      81      34.5169
      82      10.0745,      82     -32.7825,      82      40.3501,      82     -36.6880,      82      16.7274
      83       5.0740,      83     -29.7792,      83      41.4024,      83     -39.6963,      83      23.5058
      84       5.9139,      84     -27.0631,      84      36.7192,      84     -33.0665,      84      18.0369
      85       8.3787,      85     -26.7778,      85      32.5264,      85     -29.5934,      85      13.1020
      86      -4.3843,      86     -20.6668,      86      34.2128,      86     -40.4596,      86      29.0165
      87       3.6042,      87     -26.2385,      87      37.6056,      87     -36.3737,      87      20.7488
      88       6.8074,      88     -30.5573,      88      41.1440,      88     -41.9554,      88      22.1337
      89      -0.2042,      89     -25.8633,      89      40.8915,      89     -42.4012,      89      26.3909
      90       8.6466,      90     -27.4204,      90      33.5399,      90     -28.6906,      90      13.4955
      91      16.7465,      91     -44.0445,      91      49.6434,      91     -44.1354,      91      18.1370
      92       0.6593,      92     -22.5855,      92      33.6322,      92     -33.0689,      92      20.5360
